ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Aulaweb,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Study,MW_TextEditor,MWC_Aulaweb,MWC_Study
12,1485923.0,99615.0,113505724.0,934589.0,3950591.0,27400.0,425810945.0,379325265.0,0.0,2.0,20.0,0.0,363.0,0.0,0.0,2256.0,61.0,132.0,775.0,257.0,505.0,29.0,155.0,588.0,0.0,19.0,140.0,0.0,12.0,0.0,1.0,1936.0,2614.0,20855.0,8046.0,10017.0,596.0,5427.0,15636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,18301.0,128007.0,117301452.0,701249.0,3597242.0,1059.0,90898461.0,218411370.0,0.0,1.0,309.0,0.0,82.0,0.0,0.0,3008.0,38.0,111.0,1286.0,105.0,255.0,21.0,105.0,769.0,0.0,5.0,0.0,0.0,8.0,0.0,3.0,2262.0,4699.0,66449.0,8872.0,14460.0,929.0,14050.0,65331.0,0.0,0.0,2.0,0.0,14.0,103.0,1336.0,0.0,0.0
15,9852.0,14374.0,195086461.0,48977.0,43031892.0,16448.0,20547284.0,213545522.0,0.0,8.0,214.0,0.0,12.0,0.0,0.0,2614.0,23.0,138.0,1119.0,87.0,92.0,37.0,157.0,927.0,0.0,0.0,140.0,0.0,10.0,0.0,4.0,1013.0,4329.0,47053.0,3572.0,6261.0,1313.0,7335.0,31178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17141.0,160003.0,59436324.0,1051035.0,2582099.0,2034.0,102530062.0,248922806.0,0.0,12.0,627.0,4.0,286.0,0.0,37.0,3132.0,13.0,31.0,61.0,39.0,59.0,0.0,33.0,350.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,293.0,512.0,2690.0,1449.0,2046.0,0.0,1906.0,15144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,79849.0,6872187.0,55940352.0,161817.0,87855.0,624.0,350397060.0,528593702.0,0.0,0.0,54.0,0.0,0.0,0.0,14.0,5645.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,664.0,1082.0,66298830.0,2060.0,70657.0,146.0,134948770.0,164751268.0,0.0,0.0,126.0,0.0,51.0,0.0,8.0,2407.0,43.0,109.0,1121.0,96.0,212.0,13.0,131.0,1015.0,0.0,2.0,232.0,0.0,22.0,0.0,22.0,1906.0,3486.0,45698.0,3731.0,7541.0,509.0,6695.0,36550.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
19,0.0,4948.0,21810600.0,1804202.0,5914166.0,11696.0,0.0,496419583.0,0.0,0.0,64.0,0.0,46.0,0.0,0.0,5254.0,0.0,29.0,1185.0,560.0,654.0,53.0,0.0,2501.0,0.0,0.0,190.0,0.0,12.0,0.0,48.0,0.0,7251.0,245865.0,58313.0,129056.0,8896.0,0.0,505761.0,0.0,0.0,5.0,0.0,3.0,0.0,71.0,0.0,0.0
20,78511.0,28217.0,53916222.0,146288.0,189295.0,423.0,45462813.0,161510877.0,0.0,0.0,457.0,0.0,112.0,0.0,106.0,2378.0,74.0,130.0,1206.0,116.0,337.0,29.0,381.0,605.0,10.0,44.0,14.0,0.0,28.0,12.0,4.0,2834.0,4319.0,46863.0,5475.0,9809.0,858.0,27222.0,46256.0,23.0,0.0,23.0,0.0,0.0,458.0,401.0,0.0,0.0
21,2703.0,283780.0,73084204.0,193312.0,29679.0,2002.0,111986217.0,237085908.0,0.0,0.0,318.0,0.0,64.0,0.0,2.0,3359.0,45.0,81.0,2262.0,150.0,164.0,79.0,220.0,1621.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,2881.0,3454.0,119217.0,7409.0,11126.0,3330.0,23611.0,134262.0,14.0,0.0,137.0,0.0,34.0,437.0,1367.0,0.0,0.0
22,55882.0,5005.0,95291689.0,652831.0,807407.0,45.0,120181158.0,320784479.0,0.0,0.0,68.0,1.0,48.0,0.0,14.0,4446.0,15.0,141.0,1950.0,147.0,207.0,27.0,83.0,830.0,0.0,1.0,346.0,2.0,31.0,0.0,4.0,330.0,2718.0,41086.0,3592.0,5014.0,585.0,2706.0,23219.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0
24,5328484.0,219337.0,156724754.0,3457929.0,10397283.0,3188.0,22475461.0,308826328.0,274.0,16.0,77.0,20.0,55.0,0.0,252.0,7005.0,101.0,153.0,1232.0,169.0,157.0,14.0,146.0,459.0,2.0,6.0,144.0,0.0,20.0,0.0,2.0,6782.0,6940.0,62352.0,8765.0,9585.0,643.0,10127.0,22714.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,8126.0,377905724.0,342084.0,569075.0,1329.0,13973648.0,234406114.0,0.0,0.0,1201.0,9.0,8.0,8.0,0.0,2453.0,0.0,58.0,1900.0,126.0,120.0,56.0,122.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.0,85905.0,6833.0,4232.0,1702.0,8343.0,42685.0,0.0,21.0,333.0,0.0,106.0,1460.0,4000.0,0.0,0.0
28,5447760.0,2075.0,103145807.0,1227339.0,350470.0,16.0,12203026.0,441992255.0,0.0,0.0,84.0,0.0,58.0,0.0,18.0,4114.0,35.0,76.0,1742.0,110.0,133.0,11.0,132.0,923.0,0.0,2.0,270.0,2.0,4.0,0.0,2.0,1173.0,1564.0,42346.0,3225.0,3072.0,260.0,4564.0,35924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,3861.0,108242700.0,967362.0,1960837.0,47.0,5211157.0,153018386.0,0.0,0.0,44.0,0.0,324.0,0.0,0.0,1978.0,0.0,51.0,2060.0,339.0,740.0,38.0,273.0,1185.0,0.0,2.0,274.0,18.0,64.0,0.0,52.0,0.0,2327.0,121555.0,18031.0,33080.0,1714.0,29034.0,105522.0,0.0,0.0,68.0,0.0,19.0,392.0,1945.0,0.0,0.0
30,105707925.0,6115.0,63216796.0,82161.0,1297802.0,376.0,0.0,540241813.0,10.0,0.0,378.0,0.0,48.0,0.0,0.0,3411.0,128.0,41.0,1209.0,92.0,315.0,18.0,0.0,841.0,2.0,0.0,12.0,0.0,30.0,0.0,40.0,8533.0,786.0,44605.0,3389.0,13466.0,458.0,0.0,42528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,11896.0,11248.0,67191749.0,394734.0,904110.0,639.0,28112598.0,282542711.0,0.0,2.0,260.0,0.0,18.0,0.0,18.0,6863.0,76.0,149.0,2051.0,131.0,209.0,75.0,254.0,1261.0,0.0,0.0,364.0,0.0,32.0,0.0,0.0,4182.0,5245.0,75100.0,7358.0,8383.0,2169.0,10715.0,70514.0,0.0,0.0,28.0,0.0,0.0,199.0,0.0,0.0,0.0
34,26167.0,17406522.0,191155872.0,10603.0,202385.0,125.0,42700322.0,403006842.0,0.0,0.0,233.0,0.0,48.0,0.0,0.0,2121.0,59.0,61.0,1750.0,85.0,134.0,33.0,140.0,562.0,0.0,18.0,384.0,0.0,24.0,0.0,4.0,5263.0,3661.0,81280.0,3843.0,7286.0,1826.0,10518.0,36933.0,22.0,0.0,12.0,0.0,0.0,62.0,501.0,0.0,0.0
36,22269.0,2423.0,71602724.0,622693.0,16629.0,95.0,76946419.0,615504251.0,0.0,0.0,201.0,14.0,2.0,2.0,0.0,2803.0,32.0,49.0,1316.0,90.0,122.0,23.0,163.0,834.0,0.0,2.0,246.0,0.0,2.0,0.0,0.0,3501.0,2383.0,64302.0,6057.0,5275.0,1065.0,19521.0,54713.0,11.0,0.0,48.0,9.0,1.0,79.0,762.0,28.0,4.0
38,2286504.0,1381671.0,100201905.0,3029405.0,5394154.0,1484.0,19363909.0,1121566618.0,2.0,0.0,143.0,4.0,0.0,0.0,0.0,3820.0,22.0,9.0,1142.0,90.0,101.0,25.0,50.0,507.0,0.0,5.0,142.0,0.0,1.0,0.0,2.0,2272.0,861.0,49909.0,7453.0,8401.0,1057.0,6603.0,53780.0,7.0,0.0,47.0,0.0,19.0,57.0,1239.0,0.0,0.0
39,2276.0,33610.0,201160373.0,387130.0,8433204.0,404.0,248491603.0,291405734.0,0.0,10.0,148.0,8.0,110.0,8.0,0.0,5018.0,48.0,115.0,1325.0,199.0,230.0,30.0,105.0,904.0,0.0,4.0,190.0,8.0,10.0,0.0,8.0,1334.0,5391.0,57849.0,7203.0,12890.0,882.0,11079.0,44716.0,2.0,15.0,75.0,6.0,51.0,179.0,600.0,2.0,18.0
41,34592.0,1059.0,89697396.0,2875697.0,1049063.0,1794.0,7270173.0,141757908.0,0.0,7.0,242.0,0.0,1.0,0.0,0.0,4536.0,34.0,128.0,2347.0,229.0,169.0,51.0,162.0,1544.0,0.0,0.0,350.0,0.0,0.0,0.0,48.0,2594.0,4879.0,153830.0,20972.0,7240.0,2193.0,24661.0,120283.0,14.0,12.0,194.0,11.0,0.0,214.0,1576.0,2.0,0.0
42,299575.0,450627.0,297642230.0,783868.0,165822.0,1546.0,186073763.0,304366700.0,0.0,2.0,66.0,0.0,0.0,0.0,0.0,2144.0,59.0,112.0,1805.0,96.0,103.0,45.0,194.0,614.0,0.0,1.0,232.0,0.0,1.0,0.0,30.0,2314.0,3833.0,51265.0,3506.0,2590.0,1256.0,11146.0,23878.0,76.0,21.0,0.0,0.0,0.0,891.0,1194.0,0.0,0.0
43,197287.0,6477.0,183961484.0,2724456.0,62353.0,6414.0,601010514.0,40177709.0,63.0,3.0,943.0,38.0,42.0,6.0,2.0,4275.0,78.0,40.0,1584.0,91.0,184.0,44.0,151.0,438.0,0.0,6.0,2.0,0.0,4.0,0.0,0.0,7207.0,3749.0,90120.0,11200.0,13155.0,1727.0,23743.0,27020.0,25.0,0.0,7.0,0.0,4.0,188.0,1012.0,0.0,0.0
44,9142.0,16.0,112897828.0,109749.0,17135.0,78.0,31835857.0,95399705.0,0.0,0.0,1468.0,2.0,71.0,8.0,42.0,5810.0,70.0,52.0,3421.0,164.0,295.0,62.0,874.0,1086.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,12637.0,5758.0,370210.0,23712.0,35705.0,7130.0,82817.0,152476.0,49.0,7.0,41.0,12.0,4.0,492.0,1780.0,0.0,0.0
46,64286.0,16420.0,411224950.0,4096254.0,258418.0,1061.0,131046645.0,80666778.0,0.0,38.0,306.0,0.0,34.0,0.0,0.0,2016.0,116.0,62.0,2013.0,101.0,217.0,33.0,191.0,807.0,0.0,2.0,16.0,2.0,2.0,0.0,32.0,3081.0,1369.0,53361.0,2961.0,5374.0,648.0,10307.0,25446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8234.0,3292.0,153323765.0,105124.0,151113.0,33.0,139518019.0,324018998.0,0.0,4.0,242.0,0.0,141.0,0.0,18.0,3150.0,25.0,77.0,1674.0,99.0,491.0,24.0,298.0,754.0,0.0,29.0,160.0,0.0,40.0,2.0,1.0,2564.0,5013.0,86792.0,7311.0,22580.0,663.0,13334.0,57465.0,0.0,2.0,110.0,0.0,101.0,172.0,893.0,16.0,4.0
48,547367.0,962392.0,441908195.0,1917675.0,27966073.0,15.0,127646245.0,54000105.0,0.0,0.0,312.0,0.0,8.0,0.0,0.0,2632.0,43.0,84.0,1109.0,138.0,207.0,17.0,142.0,521.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4927.0,3571.0,63974.0,9417.0,10946.0,734.0,15573.0,39318.0,81.0,0.0,2.0,0.0,6.0,165.0,700.0,0.0,2.0
49,113628.0,122598.0,50595856.0,4305737.0,4456521.0,235.0,52052810.0,165738637.0,0.0,0.0,54.0,0.0,322.0,0.0,199.0,4678.0,46.0,140.0,1728.0,295.0,389.0,58.0,156.0,501.0,0.0,3.0,288.0,4.0,17.0,6.0,2.0,2652.0,5659.0,92226.0,18287.0,19987.0,2476.0,11694.0,39015.0,142.0,41.0,5.0,0.0,1094.0,2909.0,723.0,0.0,0.0
50,2553230.0,212866.0,340556114.0,615906.0,5260217.0,6848.0,5538131.0,20765507.0,10.0,0.0,82.0,0.0,267.0,12.0,87.0,2666.0,59.0,18.0,1412.0,114.0,298.0,51.0,129.0,628.0,4.0,0.0,244.0,0.0,24.0,0.0,16.0,2552.0,549.0,38194.0,3289.0,9718.0,1315.0,4301.0,16065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,188215.0,6410.0,53210960.0,336742.0,283236.0,14185.0,44446339.0,41789237.0,0.0,0.0,729.0,0.0,159.0,0.0,2.0,3086.0,172.0,159.0,2634.0,87.0,538.0,37.0,315.0,748.0,4.0,0.0,346.0,0.0,24.0,6.0,4.0,4676.0,3765.0,72903.0,3712.0,14210.0,922.0,15313.0,24210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,27488.0,63353.0,143550978.0,1333852.0,456869.0,968.0,13482828.0,217373920.0,0.0,4.0,102.0,4.0,88.0,0.0,0.0,5378.0,28.0,180.0,1431.0,112.0,195.0,36.0,164.0,1242.0,0.0,0.0,260.0,0.0,0.0,0.0,48.0,694.0,4408.0,30867.0,3008.0,3523.0,651.0,4155.0,30294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,64.0,616769.0,66589002.0,225017.0,102148.0,298.0,54305896.0,302775529.0,0.0,6.0,274.0,0.0,0.0,0.0,0.0,2695.0,7.0,184.0,2306.0,80.0,64.0,52.0,157.0,786.0,0.0,26.0,446.0,0.0,0.0,4.0,2.0,254.0,18211.0,147475.0,9227.0,6905.0,2957.0,34682.0,80200.0,0.0,13.0,53.0,0.0,17.0,344.0,2132.0,0.0,0.0
54,599482.0,14189.0,227387293.0,133697.0,56031.0,530.0,167303835.0,395427754.0,24.0,0.0,15.0,0.0,34.0,0.0,70.0,1890.0,73.0,45.0,1010.0,110.0,68.0,18.0,171.0,747.0,0.0,27.0,200.0,0.0,0.0,0.0,13.0,5308.0,4399.0,70259.0,7404.0,4304.0,784.0,19386.0,55488.0,0.0,3.0,45.0,0.0,0.0,246.0,1319.0,0.0,0.0
56,293474.0,1036608.0,150979905.0,46501.0,1173079.0,127.0,91681969.0,14595126.0,0.0,0.0,118.0,0.0,2.0,0.0,2307.0,1049.0,56.0,327.0,2634.0,128.0,195.0,51.0,248.0,355.0,0.0,0.0,314.0,0.0,12.0,0.0,2.0,2630.0,11466.0,90750.0,5122.0,9386.0,1635.0,13706.0,17978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,5009.0,14542.0,139407880.0,53105.0,153480.0,1182.0,1090028698.0,140346474.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,3250.0,43.0,154.0,1300.0,107.0,97.0,20.0,139.0,986.0,0.0,4.0,186.0,0.0,0.0,0.0,0.0,2094.0,4432.0,59933.0,3396.0,3880.0,483.0,20431.0,41760.0,0.0,0.0,10.0,0.0,6.0,254.0,875.0,0.0,0.0
61,2906465.0,1576788.0,43450167.0,192183.0,215744.0,62.0,98246768.0,36594176.0,18.0,1.0,310.0,2.0,106.0,0.0,131.0,2165.0,45.0,407.0,1062.0,79.0,180.0,24.0,319.0,640.0,0.0,0.0,122.0,0.0,6.0,0.0,2.0,2936.0,11626.0,64438.0,3482.0,7126.0,754.0,27575.0,38967.0,30.0,1.0,116.0,0.0,0.0,386.0,1884.0,0.0,0.0
63,923684.0,67047.0,80322383.0,879826.0,5335805.0,2.0,107947514.0,602228139.0,0.0,0.0,68.0,64.0,30.0,0.0,2.0,3040.0,50.0,161.0,940.0,86.0,118.0,9.0,140.0,792.0,0.0,0.0,112.0,0.0,2.0,0.0,0.0,2481.0,4511.0,30131.0,3066.0,3797.0,549.0,5853.0,33534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,102486.0,1437527.0,112635804.0,1665522.0,2794182.0,2935.0,207065977.0,1243211995.0,35.0,11.0,297.0,0.0,202.0,12.0,21.0,4861.0,96.0,255.0,2435.0,220.0,522.0,43.0,170.0,2052.0,0.0,31.0,492.0,16.0,14.0,4.0,17.0,8118.0,14212.0,125319.0,14701.0,25688.0,1871.0,16244.0,135042.0,107.0,19.0,129.0,16.0,138.0,715.0,5490.0,0.0,0.0
67,7624349.0,1915519.0,83548619.0,8134.0,86132265.0,62.0,51998910.0,189994703.0,3.0,0.0,268.0,0.0,753.0,0.0,0.0,2858.0,130.0,80.0,2147.0,148.0,625.0,47.0,170.0,1171.0,0.0,0.0,370.0,0.0,12.0,0.0,2.0,15821.0,6277.0,169499.0,10844.0,84124.0,4331.0,28606.0,101501.0,127.0,21.0,314.0,0.0,2242.0,279.0,1190.0,37.0,8.0
70,2037.0,62325.0,533053864.0,2911344.0,112838.0,968.0,25664550.0,128724764.0,0.0,3.0,158.0,4.0,94.0,8.0,2.0,4446.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,70.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
71,12297.0,12533.0,94974991.0,1374073.0,690629.0,2608.0,161017272.0,290418671.0,0.0,0.0,88.0,0.0,125.0,0.0,0.0,4431.0,55.0,67.0,1298.0,148.0,284.0,45.0,188.0,1587.0,2.0,1.0,214.0,0.0,9.0,0.0,10.0,3557.0,2640.0,88954.0,11607.0,18983.0,2667.0,30460.0,111856.0,12.0,0.0,57.0,0.0,102.0,109.0,451.0,0.0,0.0
72,42455.0,443851.0,49483277.0,209457.0,3500807.0,9361.0,38442019.0,151582732.0,2.0,0.0,181.0,23.0,247.0,65.0,7.0,5586.0,104.0,170.0,2549.0,321.0,905.0,107.0,360.0,1348.0,0.0,3.0,442.0,10.0,23.0,0.0,2.0,9128.0,10028.0,120390.0,14864.0,51832.0,3348.0,22449.0,85399.0,116.0,0.0,95.0,0.0,48.0,312.0,1514.0,0.0,0.0
73,0.0,70879803.0,158785683.0,85878.0,309442.0,95.0,0.0,195227336.0,0.0,14.0,72.0,2.0,115.0,0.0,0.0,4079.0,0.0,305.0,1302.0,119.0,163.0,22.0,0.0,578.0,0.0,1.0,298.0,0.0,4.0,0.0,3.0,0.0,17424.0,67545.0,4811.0,8653.0,896.0,0.0,37901.0,0.0,1032.0,50.0,0.0,0.0,0.0,11425.0,0.0,0.0
74,305372.0,782204.0,59647444.0,134535.0,2056694.0,1048.0,49580450.0,90602468.0,0.0,2.0,55.0,0.0,82.0,0.0,0.0,3611.0,86.0,341.0,2629.0,155.0,345.0,51.0,208.0,1125.0,0.0,1.0,473.0,0.0,18.0,0.0,42.0,5985.0,21194.0,137745.0,9543.0,20611.0,2427.0,29805.0,61829.0,14.0,7.0,20.0,0.0,67.0,326.0,1448.0,0.0,16.0
76,53448.0,7283.0,77196159.0,58953.0,258484.0,1502.0,4867552.0,182710313.0,0.0,16.0,876.0,24.0,107.0,0.0,67.0,5200.0,54.0,91.0,1826.0,109.0,176.0,39.0,184.0,1018.0,0.0,2.0,8.0,0.0,6.0,0.0,10.0,2198.0,2290.0,57935.0,2593.0,4950.0,720.0,6894.0,39294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,34098.0,31787.0,74933591.0,220448.0,151356.0,29343.0,32175096.0,186045020.0,0.0,0.0,355.0,36.0,109.0,8.0,0.0,3240.0,44.0,105.0,1243.0,125.0,145.0,23.0,206.0,781.0,0.0,6.0,0.0,0.0,8.0,0.0,6.0,4025.0,4548.0,69807.0,7711.0,7788.0,1428.0,17580.0,58385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
79,159527.0,4721.0,139896789.0,579078.0,818674.0,859.0,127272520.0,350821856.0,0.0,0.0,99.0,0.0,16.0,0.0,0.0,3694.0,50.0,46.0,1188.0,136.0,202.0,12.0,178.0,920.0,0.0,0.0,230.0,2.0,0.0,4.0,2.0,1174.0,848.0,30857.0,3394.0,5333.0,328.0,8446.0,26986.0,0.0,0.0,65.0,0.0,47.0,201.0,1495.0,0.0,0.0
80,19645489.0,2156.0,1093826482.0,2495591.0,683127.0,2282.0,441398731.0,20520570.0,0.0,0.0,75.0,10.0,312.0,4.0,0.0,198.0,16.0,93.0,1288.0,113.0,265.0,31.0,65.0,97.0,0.0,0.0,158.0,0.0,18.0,0.0,0.0,534.0,2313.0,36868.0,4239.0,5260.0,777.0,4217.0,3822.0,0.0,5.0,210.0,15.0,8.0,330.0,0.0,0.0,0.0
81,5448.0,4394940.0,54814397.0,444266.0,2566894.0,1985.0,52802752.0,248307219.0,0.0,2.0,759.0,2.0,118.0,0.0,4.0,3936.0,38.0,61.0,2138.0,103.0,198.0,34.0,194.0,1454.0,1.0,0.0,340.0,0.0,0.0,1.0,36.0,14760.0,17855.0,441166.0,29610.0,42909.0,7007.0,90801.0,246507.0,0.0,21.0,16.0,0.0,7.0,224.0,756.0,0.0,0.0
82,34209.0,830598.0,75052509.0,9985.0,1310936.0,46.0,25618528.0,573989156.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,3040.0,79.0,180.0,1737.0,102.0,151.0,34.0,254.0,859.0,0.0,0.0,342.0,2.0,2.0,0.0,40.0,7052.0,7677.0,100571.0,6438.0,8346.0,1457.0,32356.0,76698.0,24.0,16.0,78.0,0.0,10.0,293.0,2049.0,0.0,0.0
83,0.0,4483.0,29606715.0,76974.0,2415893.0,16.0,66644978.0,265920703.0,0.0,2.0,4.0,0.0,38.0,0.0,0.0,3556.0,0.0,50.0,1606.0,110.0,414.0,10.0,183.0,1199.0,0.0,38.0,278.0,2.0,8.0,0.0,20.0,0.0,3934.0,75355.0,5985.0,17846.0,547.0,21405.0,100946.0,0.0,0.0,117.0,0.0,16.0,220.0,1350.0,0.0,0.0
