session,student_id,activity,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
1,46, Aulaweb,4532439,0,0,100,0,2913,0
1,46, Blank,3386,0,0,47,0,885,0
1,46, Deeds,81872567,0,0,1691,18,45521,450
1,46, Diagram,49715695,0,0,370,0,14804,24
1,46, Other,5492810,0,0,548,24,13467,212
1,46, Properties,143744,0,0,58,0,1480,66
1,46, Study,7079990,0,0,185,0,6913,0
1,46, TextEditor,42875817,0,0,669,22,22806,648
1,47, Aulaweb,1457379,2,6,99,0,7324,0
1,47, Blank,150586,0,0,101,0,5665,0
1,47, Deeds,42924508,32,0,1421,109,91527,298
1,47, Diagram,2719224,5,0,220,4,14771,0
1,47, Other,10152832,34,0,495,12,36338,180
1,47, Properties,64074,0,0,32,1,2101,117
1,47, Study,1596285,73,0,178,0,18126,42
1,47, TextEditor,3384579,331,8,480,20,35025,780
1,49, Aulaweb,31532,25,0,35,0,3537,0
1,49, Blank,3194,0,0,40,10,2135,0
1,49, Deeds,61042392,4,0,1219,130,77220,32
1,49, Diagram,41112545,21,0,1034,38,49249,0
1,49, Other,403107,5,0,107,0,5011,32
1,49, Properties,72579,0,0,45,0,2063,87
1,49, Study,2788951,93,0,286,0,30538,12
1,49, TextEditor,9301352,269,0,615,0,25944,827
1,51, Aulaweb,57940,0,0,56,2,2135,0
1,51, Blank,34463,0,0,95,2,2259,0
1,51, Deeds,31847195,0,0,1738,94,58943,125
1,51, Diagram,53282643,0,0,961,28,38232,48
1,51, Other,699200,0,0,385,36,10866,126
1,51, Properties,2960,0,0,53,0,1401,0
1,51, Study,194743,0,0,148,0,8248,0
1,51, TextEditor,2321810,0,0,526,12,18484,1051
1,52, Aulaweb,196224,0,0,47,0,1360,0
1,52, Blank,158684,0,0,283,4,7154,0
1,52, Deeds,39815327,0,0,1062,126,27623,170
1,52, Diagram,24550915,0,0,276,0,12650,6
1,52, Other,1385343,0,0,151,2,3163,18
1,52, Properties,225067,0,0,41,0,838,67
1,52, Study,2145144,0,0,156,0,5192,0
1,52, TextEditor,23292414,0,0,502,24,14715,1323
1,53, Aulaweb,10184908,3,0,18,0,3671,0
1,53, Blank,419781,0,0,21,0,1054,2
1,53, Deeds,26460187,31,0,407,38,36899,182
1,53, Diagram,3168338,0,0,271,12,21761,10
1,53, Other,1450019,12,0,124,0,14286,38
1,53, Properties,41828,0,0,36,0,2117,46
1,53, Study,6630988,67,0,132,0,26811,2
1,53, TextEditor,4155164,13,0,54,0,4976,691
1,54, Aulaweb,35630,0,0,42,0,1758,0
1,54, Blank,33886,0,0,78,16,2571,0
1,54, Deeds,17986897,73,0,963,162,46175,99
1,54, Diagram,2502001,0,0,187,6,5716,0
1,54, Other,647745,0,0,92,4,3607,50
1,54, Properties,7801,0,0,20,0,785,0
1,54, Study,379820,7,0,113,10,6524,0
1,54, TextEditor,16662456,30,0,645,4,26118,517
1,55, Aulaweb,363810,52,0,124,0,10538,0
1,55, Blank,493335,2,0,296,50,19754,12
1,55, Deeds,98839050,29,0,1734,8,127432,254
1,55, Diagram,20711107,0,0,372,0,34663,5
1,55, Other,690165,23,0,394,3,30001,386
1,55, Properties,18122,0,0,65,0,3744,81
1,55, Study,966425,45,0,150,0,15387,2
1,55, TextEditor,12156467,501,0,747,3,62558,318
1,56, Aulaweb,104350,0,0,50,0,2925,2
1,56, Blank,76626,0,0,144,2,4839,0
1,56, Deeds,66903884,0,0,1391,150,59204,289
1,56, Diagram,2991061,0,0,966,10,25953,24
1,56, Other,172808,0,0,76,0,2913,63
1,56, Properties,3265,0,0,63,0,2003,0
1,56, Study,17218881,0,0,191,0,20862,256
1,56, TextEditor,5697359,0,0,257,6,13371,364
1,59, Aulaweb,139484,0,0,34,0,2253,0
1,59, Blank,133516,0,0,130,0,4546,3
1,59, Deeds,43644887,12,0,1236,58,45918,201
1,59, Diagram,119385299,0,0,304,2,10867,6
1,59, Other,6498715,32,0,224,12,8982,227
1,59, Properties,368868,0,0,78,0,2435,60
1,59, Study,3503187,121,0,168,2,10199,2
1,59, TextEditor,49210037,459,0,364,0,15184,791
1,62, Aulaweb,21047,5,0,88,0,5498,4
1,62, Blank,328452,0,0,77,6,3920,4
1,62, Deeds,30949472,39,0,1493,256,90540,56
1,62, Diagram,7373664,0,0,943,32,36592,6
1,62, Other,281682,0,0,171,0,13043,102
1,62, Properties,80288,0,0,63,2,4764,36
1,62, Study,5408799,135,0,229,0,22256,2
1,62, TextEditor,4846873,302,0,608,12,36429,774
1,63, Aulaweb,30975,0,0,58,0,2386,42
1,63, Blank,544493,0,0,230,14,7764,7
1,63, Deeds,75021281,0,0,1354,210,46004,187
1,63, Diagram,49519696,0,0,542,2,11989,25
1,63, Other,3736226,0,0,79,2,2751,52
1,63, Properties,58770,0,0,39,0,966,50
1,63, Study,8025814,0,0,223,0,7875,22
1,63, TextEditor,11120056,0,0,479,0,16735,947
1,66, Aulaweb,218850,116,0,37,0,2466,4
1,66, Blank,1643753,0,0,100,4,5573,0
1,66, Deeds,11185119,126,0,626,84,37177,96
1,66, Diagram,23745472,0,0,904,26,36743,14
1,66, Other,1349619,28,0,321,4,19878,167
1,66, Properties,28750,0,0,51,0,1945,68
1,66, Study,853653,226,0,82,0,8144,4
1,66, TextEditor,8080494,966,0,602,2,36968,600
1,67, Aulaweb,16581,0,0,7,0,518,0
1,67, Blank,147388,0,0,47,4,1970,0
1,67, Deeds,71588674,30,0,1311,252,49139,100
1,67, Diagram,48050716,36,0,628,38,27305,0
1,67, Other,2005053,16,0,405,18,16328,74
1,67, Properties,1669,0,0,31,0,947,0
1,67, TextEditor,10128761,375,0,345,0,18505,424
1,68, Aulaweb,1049429,3,0,43,0,4378,0
1,68, Blank,13906,0,0,181,22,10182,0
1,68, Deeds,58897559,24,0,975,182,89870,54
1,68, Diagram,6633609,0,0,612,0,39202,17
1,68, Other,2321373,0,0,165,12,14331,270
1,68, Properties,26560,0,0,50,0,4273,42
1,68, Study,14570012,109,0,114,2,44834,0
1,68, TextEditor,2988150,519,0,378,2,32971,536
1,70, Aulaweb,106851,14,0,10,0,1534,4
1,70, Blank,50682,0,0,1,0,114,11
1,70, Deeds,219020526,0,0,6,0,383,131
1,70, Diagram,77377550,0,0,0,0,0,91
1,70, Other,1657861,0,0,9,0,938,163
1,70, Properties,14944,0,0,0,0,0,0
1,70, Study,305805,0,0,0,0,133,0
1,70, TextEditor,1522926,0,0,0,0,0,797
1,71, Aulaweb,311616,15,0,71,0,6565,0
1,71, Blank,7282,0,0,57,4,2902,7
1,71, Deeds,2480587,6,0,625,98,37779,110
1,71, Diagram,2425374,0,0,243,2,9179,0
1,71, Other,4510931,5,4,392,12,31795,473
1,71, Properties,7897,0,0,21,6,981,77
1,71, Study,187356,18,0,25,0,3808,0
1,71, TextEditor,1907865,200,0,218,0,20634,216
1,73, Blank,5504828,474,0,154,4,8810,7
1,73, Deeds,60211963,195,0,1358,206,61678,245
1,73, Diagram,16767643,63,0,360,4,20297,12
1,73, Other,415226,0,0,345,18,12918,306
1,73, Properties,67325,0,0,96,0,2813,64
1,73, TextEditor,14554614,2745,0,180,0,11874,863
1,74, Aulaweb,232793,42,0,76,0,8615,2
1,74, Blank,1241197,30,0,182,10,13110,6
1,74, Deeds,105851290,4,0,1867,184,173232,53
1,74, Diagram,32536528,0,0,501,16,50807,4
1,74, Other,1400720,30,0,367,31,36250,114
1,74, Properties,10075,0,0,46,0,2761,0
1,74, Study,2810016,75,0,241,0,36203,0
1,74, TextEditor,2555827,477,0,540,12,45398,841
1,76, Aulaweb,39645,7,0,35,0,3628,0
1,76, Blank,12907,0,0,90,0,4432,11
1,76, Deeds,9489184,8,0,1528,18,83170,239
1,76, Diagram,19392774,1,0,1115,40,50440,48
1,76, Other,826300,1,0,153,8,7641,114
1,76, Properties,71132,1,0,91,0,4792,130
1,76, Study,92787225,70,0,152,0,22463,0
1,76, TextEditor,8087067,722,0,366,0,31577,927
1,78, Aulaweb,5161,2,4,19,0,1420,0
1,78, Blank,8610,0,0,74,3,3981,0
1,78, Deeds,192932150,66,0,824,0,62120,230
1,78, Diagram,42035437,20,0,269,0,30585,20
1,78, Other,4523250,0,0,41,1,4923,0
1,78, Properties,92170,0,0,26,0,1724,48
1,78, Study,8354249,55,4,91,0,11787,0
1,78, TextEditor,3970018,421,0,339,0,27037,754
1,79, Aulaweb,50616,54,0,74,0,2190,2
1,79, Blank,31922,2,0,52,0,765,0
1,79, Deeds,74144331,38,0,1256,194,37350,149
1,79, Diagram,26140873,0,0,356,0,11895,52
1,79, Other,3814990,12,0,325,6,11330,183
1,79, Properties,76709,0,0,42,0,1629,46
1,79, Study,2280007,160,0,108,2,4819,0
1,79, TextEditor,9675049,484,0,357,0,13719,810
1,80, Aulaweb,3387452,28,0,30,0,1600,0
1,80, Blank,49940,7,0,77,8,2132,42
1,80, Deeds,272482291,96,0,910,128,31078,170
1,80, Diagram,29914576,2,0,441,0,9994,8
1,80, Other,9035690,17,0,317,8,6803,211
1,80, Properties,20001,3,0,15,0,279,41
1,80, Study,13055240,198,0,68,0,3507,0
1,80, TextEditor,11633636,2,0,59,0,2363,68
1,81, Aulaweb,2331061,8,0,12,0,5058,64
1,81, Blank,21437,0,0,4,0,449,6
1,81, Deeds,107403523,0,0,212,38,53980,203
1,81, Diagram,14262270,0,0,0,0,0,0
1,81, Other,9786542,0,0,18,0,8465,16
1,81, Properties,413471,0,0,2,0,1128,96
1,81, Study,21101919,3,0,24,0,10192,0
1,81, TextEditor,2787895,0,0,0,0,0,939
1,82, Aulaweb,903247,7,0,48,0,2681,0
1,82, Blank,193433,8,0,285,4,19037,0
1,82, Deeds,28657789,38,0,1474,226,87689,30
1,82, Diagram,26883293,16,0,549,34,43965,4
1,82, Other,5421499,25,0,195,10,11269,16
1,82, Properties,2933,0,0,49,0,2193,0
1,82, Study,3005530,91,0,224,2,21268,0
1,82, TextEditor,14109356,679,0,564,32,42208,868
1,85, Aulaweb,20761216,0,0,68,0,3273,2
1,85, Blank,951423,0,0,49,1,1508,0
1,85, Deeds,55073134,0,0,1157,164,38158,206
1,85, Diagram,782540,0,0,121,4,6021,52
1,85, Other,23418122,0,0,376,17,12189,408
1,85, Properties,5007,0,0,24,0,862,56
1,85, Study,2360481,0,0,148,2,8864,37
1,85, TextEditor,2536351,0,0,269,0,11395,947
1,86, Aulaweb,139061,0,0,18,0,485,0
1,86, Blank,77088,0,0,57,22,2238,0
1,86, Deeds,41755048,0,0,1614,166,46196,8
1,86, Diagram,15327089,0,0,516,26,16709,0
1,86, Other,1092169,0,0,149,6,5394,0
1,86, Properties,242323,0,0,45,0,1696,88
1,86, Study,3240698,0,0,193,0,8377,0
1,86, TextEditor,4203943,0,0,412,2,12104,769
1,87, Aulaweb,94737,5,0,48,0,2625,0
1,87, Blank,123850,0,0,67,4,3395,0
1,87, Deeds,71181705,19,2,1484,226,77464,90
1,87, Diagram,14494670,0,0,440,52,28060,0
1,87, Other,553912,0,0,102,4,3905,44
1,87, Properties,7676,0,0,37,0,1850,0
1,87, Study,18049675,84,0,138,2,10760,0
1,87, TextEditor,2866587,79,0,306,2,13273,665
1,88, Aulaweb,139234,0,0,69,0,3456,0
1,88, Blank,190521,0,0,51,15,2673,0
1,88, Deeds,20139422,0,0,1286,186,52345,208
1,88, Diagram,9745609,3,0,311,8,19830,24
1,88, Other,700741,2,0,95,4,9001,60
1,88, Properties,49547,0,0,37,4,1969,112
1,88, Study,2239472,25,0,162,4,13606,0
1,88, TextEditor,18320170,100,0,419,7,24726,985
1,90, Aulaweb,763,9,0,31,0,1874,0
1,90, Blank,2664230,4,0,203,3,16032,17
1,90, Deeds,6130550,4,0,1216,6,79550,289
1,90, Diagram,19503875,19,0,204,10,24850,86
1,90, Other,183303,5,2,137,6,8779,154
1,90, Properties,420,0,0,14,0,1041,0
1,90, Study,599580,41,0,143,1,8976,2
1,90, TextEditor,4223739,472,0,432,10,23236,779
1,91, Aulaweb,1547809,18,0,60,0,5390,0
1,91, Blank,359639,0,0,201,8,7772,0
1,91, Deeds,58704279,76,8,1133,154,80213,138
1,91, Diagram,14514292,0,0,378,18,20925,6
1,91, Other,72191039,81,0,333,24,17188,581
1,91, Properties,9318,0,0,87,0,3005,64
1,91, Study,2484961,75,0,111,0,9686,0
1,91, TextEditor,16903383,799,0,418,4,34624,685
1,92, Aulaweb,79161,0,0,46,0,1875,30
1,92, Blank,5070,0,0,41,19,1391,0
1,92, Deeds,125390832,0,0,1458,22,56834,440
1,92, Diagram,7210133,0,0,150,0,7057,18
1,92, Other,3229412,0,0,197,12,6761,154
1,92, Properties,73401,0,0,39,0,1319,110
1,92, Study,2909618,0,0,132,0,8029,2
1,92, TextEditor,24328403,0,0,577,5,22795,1405
1,93, Aulaweb,191936,7,0,54,0,5522,3
1,93, Blank,635640,3,0,106,2,5917,0
1,93, Deeds,38427461,9,0,1001,14,57515,268
1,93, Diagram,13190285,10,0,907,4,40187,82
1,93, Other,2366466,0,0,354,12,21038,352
1,93, Properties,1060,0,0,32,0,2180,0
1,93, Study,424588,37,0,146,2,14321,3
1,93, TextEditor,6721717,94,0,283,0,20800,548
1,94, Aulaweb,111242,14,0,54,0,3447,0
1,94, Blank,730233,57,0,240,0,13152,23
1,94, Deeds,44528655,94,2,1267,190,62485,174
1,94, Diagram,12560433,2,0,401,26,20301,12
1,94, Other,4582334,44,0,489,20,21506,144
1,94, Properties,363763,0,0,56,0,2770,46
1,94, Study,5724934,25,0,231,2,16843,0
1,94, TextEditor,9671549,555,0,712,24,43264,461
1,96, Aulaweb,26967,6,0,34,2,2723,0
1,96, Blank,86492,0,0,158,0,11690,0
1,96, Deeds,90518179,34,0,1340,303,118062,34
1,96, Diagram,11783419,5,0,519,28,43491,6
1,96, Other,226127,0,0,186,0,13378,148
1,96, Properties,24667,0,0,51,4,3281,46
1,96, Study,2686472,77,0,199,1,31578,0
1,96, TextEditor,9771339,121,0,452,16,51977,591
1,97, Aulaweb,32140,0,0,39,4,1862,0
1,97, Blank,127482,0,0,75,0,2761,12
1,97, Deeds,45672831,0,0,986,138,53678,72
1,97, Diagram,10510298,0,0,317,0,23574,2
1,97, Other,754583,0,0,291,4,14285,0
1,97, Properties,25310,0,0,23,0,1200,0
1,97, Study,524934,0,0,64,0,4757,0
1,97, TextEditor,7460137,0,0,546,0,21710,1065
1,98, Aulaweb,17094768,330,0,72,2,4320,4
1,98, Blank,59503,0,0,96,0,3332,16
1,98, Deeds,93031004,84,0,892,6,56286,353
1,98, Diagram,16713782,37,0,538,2,24051,2
1,98, Other,1460718,0,0,78,0,3602,28
1,98, Properties,6293,0,0,30,0,1469,0
1,98, Study,7120502,1442,0,96,0,6868,2
1,98, TextEditor,6375056,5055,0,244,0,14827,1146
1,100, Aulaweb,2035270,44,0,141,0,9341,91
1,100, Blank,2457317,11,0,276,0,12868,7
1,100, Deeds,9157128,7,0,963,156,47011,225
1,100, Diagram,7566954,27,0,694,2,21526,56
1,100, Other,26018975,61,0,746,48,41862,335
1,100, Properties,8236,0,0,29,0,2020,6
1,100, Study,5122974,42,0,229,0,20375,2
1,100, TextEditor,4142387,634,0,597,6,33846,817
1,101, Aulaweb,1061432,6,0,64,0,5927,0
1,101, Blank,11167,6,0,93,0,3331,0
1,101, Deeds,178491155,39,0,1296,184,79797,56
1,101, Diagram,33128533,57,0,470,18,33002,2
1,101, Other,1031484,34,0,287,2,19273,38
1,101, Properties,704,0,0,30,0,1277,0
1,101, Study,668927,144,0,124,0,9995,2
1,101, TextEditor,23530825,312,0,539,0,34638,645
1,102, Aulaweb,286108,49,4,107,0,7627,0
1,102, Blank,779561,0,0,143,4,8209,0
1,102, Deeds,36371826,19,0,1416,10,78016,388
1,102, Diagram,13042285,11,0,726,2,29676,2
1,102, Other,2304113,158,0,456,10,22962,189
1,102, Properties,355844,0,0,75,0,2684,94
1,102, Study,2162735,156,0,223,0,19397,2
1,102, TextEditor,1162753,410,0,401,24,17386,824
1,104, Aulaweb,1414831,0,0,16,0,403,5
1,104, Blank,14315,0,0,8,5,151,0
1,104, Deeds,26644634,0,0,910,37,21430,544
1,104, Diagram,13912665,0,0,511,10,9812,20
1,104, Other,11113834,0,0,173,4,3498,275
1,104, Properties,95155,0,0,37,0,683,56
1,104, Study,16655062,0,0,124,34,4279,171
1,104, TextEditor,30185442,0,0,221,50,8019,1812
1,105, Aulaweb,586165,0,0,85,0,5797,29
1,105, Blank,94,0,0,34,2,829,0
1,105, Deeds,56403685,0,0,1032,4,45190,623
1,105, Diagram,10491498,0,0,403,0,22007,18
1,105, Other,416763,2,0,338,14,10439,146
1,105, Properties,31,0,0,22,0,1013,4
1,105, Study,16755143,0,0,89,0,6209,0
1,105, TextEditor,2462078,0,0,474,0,19783,998
1,108, Aulaweb,1735532,4,0,79,0,2617,0
1,108, Blank,310157,0,0,137,0,4334,0
1,108, Deeds,188149724,32,0,1551,66,54877,276
1,108, Diagram,7523715,0,0,227,0,9326,14
1,108, Other,15808896,8,0,208,12,6842,408
