,session,student_id,activity,idle_time,mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke
105,1,20, Other,265419.0,0,0,206,2,7233,0
106,1,20, Properties,30804.0,0,0,50,0,1890,2
107,1,20, Study,1649907.0,0,0,229,0,13743,76
108,1,20, TextEditor,3485466.0,0,0,348,9,18467,615
109,1,21, Aulaweb,2092.0,0,0,27,0,918,0
110,1,21, Blank,260.0,0,0,74,0,1874,0
111,1,21, Deeds,13589309.0,2,0,1212,8,56251,426
112,1,21, Diagram,8611295.0,0,0,600,0,21961,10
113,1,21, Other,57079.0,0,0,124,6,5000,78
114,1,21, Properties,13625.0,0,0,40,0,1173,58
115,1,21, Study,2744196.0,365,0,101,2,5870,0
116,1,21, TextEditor,10996474.0,391,0,409,4,18274,1134
117,1,22, Aulaweb,216111.0,0,0,43,0,789,0
118,1,22, Blank,592163.0,0,0,99,0,2224,0
119,1,22, Deeds,78438143.0,0,0,1053,156,28911,86
120,1,22, Diagram,19726980.0,0,0,575,10,17119,6
121,1,22, Other,1920396.0,0,0,338,20,8287,186
122,1,22, Properties,43738.0,0,0,46,0,1418,72
123,1,22, Study,1552008.0,0,0,121,0,4141,0
124,1,22, TextEditor,15502723.0,177,0,355,0,10626,808
125,1,28, Aulaweb,133725.0,0,0,45,0,2453,0
126,1,28, Blank,115698.0,0,0,131,1,6966,0
127,1,28, Deeds,27867566.0,0,0,946,96,38506,26
128,1,28, Diagram,22097524.0,0,0,142,0,6260,20
129,1,28, Other,719273.0,0,0,125,0,6813,54
130,1,28, Properties,64877.0,0,0,13,0,596,0
131,1,28, Study,5568500.0,0,0,250,1,12248,0
132,1,28, TextEditor,1926539.0,0,0,30,0,2944,0
133,1,30, Aulaweb,21792151.0,87,2,180,0,15315,85
134,1,30, Blank,2559102.0,0,0,104,8,6180,0
135,1,30, Deeds,30195160.0,28,0,1192,64,79252,319
136,1,30, Diagram,28126550.0,5,0,349,0,17940,0
137,1,30, Other,3441853.0,78,2,552,80,45011,243
138,1,30, Properties,155832.0,0,0,63,0,3508,62
139,1,30, Study,1523189.0,468,10,280,0,28375,3
140,1,30, TextEditor,8590131.0,917,0,556,30,38719,703
141,1,32, Aulaweb,95104.0,0,0,116,0,6192,0
142,1,32, Blank,639.0,0,0,72,4,3617,0
143,1,32, Deeds,36861396.0,0,0,1351,190,69441,71
144,1,32, Diagram,7664167.0,0,0,416,32,26730,0
145,1,32, Other,1969750.0,0,0,510,28,25197,255
146,1,32, Properties,19320.0,0,0,45,0,1753,49
147,1,32, Study,9932257.0,176,0,274,0,20061,22
148,1,32, TextEditor,17068722.0,0,0,634,0,34195,794
149,1,34, Aulaweb,8766011.0,1,0,53,0,6163,0
150,1,34, Blank,11257.0,0,0,64,6,3599,0
151,1,34, Deeds,76921812.0,2,0,958,148,62911,58
152,1,34, Diagram,1718892.0,6,0,328,12,17998,2
153,1,34, Other,1088388.0,30,0,90,2,6741,34
154,1,34, Properties,22721.0,0,0,17,0,1199,0
155,1,34, Study,1598746.0,29,0,51,0,8516,0
156,1,34, TextEditor,6151545.0,317,0,428,0,30667,586
157,1,36, Aulaweb,2155597.0,4,0,8,0,643,0
158,1,36, Blank,20048.0,0,0,37,6,3247,2
159,1,36, Deeds,28716548.0,19,0,812,100,43239,113
160,1,36, Diagram,14054779.0,5,0,979,4,37846,33
161,1,36, Other,7007963.0,0,0,200,2,10809,8
162,1,36, Properties,224168.0,0,0,45,0,2629,90
163,1,36, Study,12968758.0,19,0,74,0,4417,0
164,1,36, TextEditor,77878369.0,433,0,389,0,25217,917
165,1,37, Blank,52729321.0,197,0,716,32,74837,540
166,1,37, Deeds,22880807.0,4,0,1169,138,92622,14
167,1,37, Diagram,8875658.0,13,0,717,8,33000,0
168,1,37, Other,702286.0,27,0,120,12,12744,48
169,1,37, Properties,602097.0,0,0,26,0,1267,0
170,1,37, TextEditor,6183283.0,289,0,308,6,30842,833
171,1,38, Aulaweb,30270.0,0,0,16,0,816,0
172,1,38, Blank,48842.0,0,0,52,0,1941,0
173,1,38, Deeds,132324876.0,0,0,1271,14,44280,321
174,1,38, Diagram,6249744.0,0,0,293,0,11849,2
175,1,38, Other,596518.0,0,0,101,0,3983,293
176,1,38, Properties,4149.0,0,0,22,0,880,0
177,1,38, Study,36021245.0,0,0,86,0,4647,2418
178,1,38, TextEditor,25180127.0,0,0,379,2,17919,476
179,1,39, Aulaweb,14526.0,19,3,62,3,2579,0
180,1,39, Blank,582542.0,11,0,119,3,6396,0
181,1,39, Deeds,88329401.0,44,14,1419,230,56215,171
182,1,39, Diagram,28286193.0,29,0,519,92,30550,16
183,1,39, Other,2706559.0,6,0,430,36,20270,278
184,1,39, Properties,49865.0,0,0,74,0,2484,42
185,1,39, Study,1615864.0,129,33,114,2,10408,0
186,1,39, TextEditor,26118977.0,609,2,338,4,24339,1324
187,1,42, Aulaweb,47044.0,161,0,69,0,2798,0
188,1,42, Blank,101312.0,13,0,155,4,4819,0
189,1,42, Deeds,64443758.0,0,0,1493,214,59905,68
190,1,42, Diagram,28964304.0,0,0,395,6,17084,6
191,1,42, Other,1420262.0,0,0,252,16,8849,73
192,1,42, Properties,971056.0,0,0,80,0,2649,64
193,1,42, Study,1442758.0,688,0,259,4,12794,0
194,1,42, TextEditor,8420546.0,915,0,403,32,14523,1614
195,1,43, Aulaweb,335450.0,0,0,84,0,3482,1
196,1,43, Blank,8158.0,0,0,28,0,1099,0
197,1,43, Deeds,147773654.0,0,0,1310,2,42988,631
198,1,43, Diagram,25619144.0,0,0,385,0,17478,18
199,1,43, Other,1919600.0,0,0,264,10,8257,154
200,1,43, Properties,61927.0,0,0,36,0,891,42
201,1,43, Study,5111788.0,0,0,167,0,9602,3
202,1,43, TextEditor,13025149.0,0,0,554,0,19680,1664
203,1,44, Aulaweb,271020.0,16,0,43,0,10542,6
204,1,44, Blank,16250.0,2,0,30,0,3159,0
205,1,44, Deeds,49643776.0,0,0,1004,2,116223,455
206,1,44, Diagram,12107543.0,3,0,656,0,37498,20
207,1,44, Other,181971.0,219,0,269,10,32888,101
208,1,44, Properties,265.0,0,0,20,0,2566,0
209,1,44, Study,9612750.0,115,0,290,0,37107,32
210,1,44, TextEditor,2226241.0,817,0,363,0,52865,876
211,1,46, Aulaweb,4532439.0,0,0,100,0,2913,0
212,1,46, Blank,3386.0,0,0,47,0,885,0
213,1,46, Deeds,81872567.0,0,0,1691,18,45521,450
214,1,46, Diagram,49715695.0,0,0,370,0,14804,24
215,1,46, Other,5492810.0,0,0,548,24,13467,212
216,1,46, Properties,143744.0,0,0,58,0,1480,66
217,1,46, Study,7079990.0,0,0,185,0,6913,0
218,1,46, TextEditor,42875817.0,0,0,669,22,22806,648
219,1,47, Aulaweb,1457379.0,2,6,99,0,7324,0
220,1,47, Blank,150586.0,0,0,101,0,5665,0
221,1,47, Deeds,42924508.0,32,0,1421,109,91527,298
222,1,47, Diagram,2719224.0,5,0,220,4,14771,0
223,1,47, Other,10152832.0,34,0,495,12,36338,180
224,1,47, Properties,64074.0,0,0,32,1,2101,117
225,1,47, Study,1596285.0,73,0,178,0,18126,42
226,1,47, TextEditor,3384579.0,331,8,480,20,35025,780
227,1,49, Aulaweb,31532.0,25,0,35,0,3537,0
228,1,49, Blank,3194.0,0,0,40,10,2135,0
229,1,49, Deeds,61042392.0,4,0,1219,130,77220,32
230,1,49, Diagram,41112545.0,21,0,1034,38,49249,0
231,1,49, Other,403107.0,5,0,107,0,5011,32
232,1,49, Properties,72579.0,0,0,45,0,2063,87
233,1,49, Study,2788951.0,93,0,286,0,30538,12
234,1,49, TextEditor,9301352.0,269,0,615,0,25944,827
235,1,51, Aulaweb,57940.0,0,0,56,2,2135,0
236,1,51, Blank,34463.0,0,0,95,2,2259,0
237,1,51, Deeds,31847195.0,0,0,1738,94,58943,125
238,1,51, Diagram,53282643.0,0,0,961,28,38232,48
239,1,51, Other,699200.0,0,0,385,36,10866,126
240,1,51, Properties,2960.0,0,0,53,0,1401,0
241,1,51, Study,194743.0,0,0,148,0,8248,0
242,1,51, TextEditor,2321810.0,0,0,526,12,18484,1051
243,1,52, Aulaweb,196224.0,0,0,47,0,1360,0
244,1,52, Blank,158684.0,0,0,283,4,7154,0
245,1,52, Deeds,39815327.0,0,0,1062,126,27623,170
246,1,52, Diagram,24550915.0,0,0,276,0,12650,6
247,1,52, Other,1385343.0,0,0,151,2,3163,18
248,1,52, Properties,225067.0,0,0,41,0,838,67
249,1,52, Study,2145144.0,0,0,156,0,5192,0
250,1,52, TextEditor,23292414.0,0,0,502,24,14715,1323
251,1,53, Aulaweb,10184908.0,3,0,18,0,3671,0
252,1,53, Blank,419781.0,0,0,21,0,1054,2
253,1,53, Deeds,26460187.0,31,0,407,38,36899,182
254,1,53, Diagram,3168338.0,0,0,271,12,21761,10
255,1,53, Other,1450019.0,12,0,124,0,14286,38
256,1,53, Properties,41828.0,0,0,36,0,2117,46
257,1,53, Study,6630988.0,67,0,132,0,26811,2
258,1,53, TextEditor,4155164.0,13,0,54,0,4976,691
259,1,54, Aulaweb,35630.0,0,0,42,0,1758,0
260,1,54, Blank,33886.0,0,0,78,16,2571,0
261,1,54, Deeds,17986897.0,73,0,963,162,46175,99
262,1,54, Diagram,2502001.0,0,0,187,6,5716,0
263,1,54, FSM,48.0,0,0,2,0,169,0
264,1,54, Other,647745.0,0,0,92,4,3607,50
265,1,54, Properties,7801.0,0,0,20,0,785,0
266,1,54, Study,379820.0,7,0,113,10,6524,0
267,1,54, TextEditor,16662456.0,30,0,645,4,26118,517
268,1,55, Aulaweb,363810.0,52,0,124,0,10538,0
269,1,55, Blank,493335.0,2,0,296,50,19754,12
270,1,55, Deeds,98839050.0,29,0,1734,8,127432,254
271,1,55, Diagram,20711107.0,0,0,372,0,34663,5
272,1,55, Other,690165.0,23,0,394,3,30001,386
273,1,55, Properties,18122.0,0,0,65,0,3744,81
274,1,55, Study,966425.0,45,0,150,0,15387,2
275,1,55, TextEditor,12156467.0,501,0,747,3,62558,318
276,1,56, Aulaweb,104350.0,0,0,50,0,2925,2
277,1,56, Blank,76626.0,0,0,144,2,4839,0
278,1,56, Deeds,66903884.0,0,0,1391,150,59204,289
279,1,56, Diagram,2991061.0,0,0,966,10,25953,24
280,1,56, Other,172808.0,0,0,76,0,2913,63
281,1,56, Properties,3265.0,0,0,63,0,2003,0
282,1,56, Study,17218881.0,0,0,191,0,20862,256
283,1,56, TextEditor,5697359.0,0,0,257,6,13371,364
284,1,59, Aulaweb,139484.0,0,0,34,0,2253,0
285,1,59, Blank,133516.0,0,0,130,0,4546,3
286,1,59, Deeds,43644887.0,12,0,1236,58,45918,201
287,1,59, Diagram,119385299.0,0,0,304,2,10867,6
288,1,59, Other,6498715.0,32,0,224,12,8982,227
289,1,59, Properties,368868.0,0,0,78,0,2435,60
290,1,59, Study,3503187.0,121,0,168,2,10199,2
291,1,59, TextEditor,49210037.0,459,0,364,0,15184,791
292,1,62, Aulaweb,21047.0,5,0,88,0,5498,4
293,1,62, Blank,328452.0,0,0,77,6,3920,4
294,1,62, Deeds,30949472.0,39,0,1493,256,90540,56
295,1,62, Diagram,7373664.0,0,0,943,32,36592,6
296,1,62, Other,281682.0,0,0,171,0,13043,102
297,1,62, Properties,80288.0,0,0,63,2,4764,36
298,1,62, Study,5408799.0,135,0,229,0,22256,2
299,1,62, TextEditor,4846873.0,302,0,608,12,36429,774
300,1,63, Aulaweb,30975.0,0,0,58,0,2386,42
301,1,63, Blank,544493.0,0,0,230,14,7764,7
302,1,63, Deeds,75021281.0,0,0,1354,210,46004,187
303,1,63, Diagram,49519696.0,0,0,542,2,11989,25
304,1,63, Other,3736226.0,0,0,79,2,2751,52
305,1,63, Properties,58770.0,0,0,39,0,966,50
306,1,63, Study,8025814.0,0,0,223,0,7875,22
307,1,63, TextEditor,11120056.0,0,0,479,0,16735,947
308,1,66, Aulaweb,218850.0,116,0,37,0,2466,4
309,1,66, Blank,1643753.0,0,0,100,4,5573,0
310,1,66, Deeds,11185119.0,126,0,626,84,37177,96
311,1,66, Diagram,23745472.0,0,0,904,26,36743,14
312,1,66, Other,1349619.0,28,0,321,4,19878,167
313,1,66, Properties,28750.0,0,0,51,0,1945,68
314,1,66, Study,853653.0,226,0,82,0,8144,4
315,1,66, TextEditor,8080494.0,966,0,602,2,36968,600
316,1,67, Aulaweb,16581.0,0,0,7,0,518,0
317,1,67, Blank,147388.0,0,0,47,4,1970,0
318,1,67, Deeds,71588674.0,30,0,1311,252,49139,100
319,1,67, Diagram,48050716.0,36,0,628,38,27305,0
320,1,67, FSM,46.0,0,0,4,0,137,0
321,1,67, Other,2005053.0,16,0,405,18,16328,74
322,1,67, Properties,1669.0,0,0,31,0,947,0
323,1,67, TextEditor,10128761.0,375,0,345,0,18505,424
324,1,68, Aulaweb,1049429.0,3,0,43,0,4378,0
325,1,68, Blank,13906.0,0,0,181,22,10182,0
326,1,68, Deeds,58897559.0,24,0,975,182,89870,54
327,1,68, Diagram,6633609.0,0,0,612,0,39202,17
328,1,68, Other,2321373.0,0,0,165,12,14331,270
329,1,68, Properties,26560.0,0,0,50,0,4273,42
330,1,68, Study,14570012.0,109,0,114,2,44834,0
331,1,68, TextEditor,2988150.0,519,0,378,2,32971,536
332,1,70, Aulaweb,106851.0,14,0,10,0,1534,4
333,1,70, Blank,50682.0,0,0,1,0,114,11
334,1,70, Deeds,219020526.0,0,0,6,0,383,131
335,1,70, Diagram,77377550.0,0,0,0,0,0,91
336,1,70, Other,1657861.0,0,0,9,0,938,163
337,1,70, Properties,14944.0,0,0,0,0,0,0
338,1,70, Study,305805.0,0,0,0,0,133,0
339,1,70, TextEditor,1522926.0,0,0,0,0,0,797
340,1,71, Aulaweb,311616.0,15,0,71,0,6565,0
341,1,71, Blank,7282.0,0,0,57,4,2902,7
342,1,71, Deeds,2480587.0,6,0,625,98,37779,110
343,1,71, Diagram,2425374.0,0,0,243,2,9179,0
344,1,71, Other,4510931.0,5,4,392,12,31795,473
345,1,71, Properties,7897.0,0,0,21,6,981,77
346,1,71, Study,187356.0,18,0,25,0,3808,0
347,1,71, TextEditor,1907865.0,200,0,218,0,20634,216
348,1,73, Blank,5504828.0,474,0,154,4,8810,7
349,1,73, Deeds,60211963.0,195,0,1358,206,61678,245
350,1,73, Diagram,16767643.0,63,0,360,4,20297,12
351,1,73, Other,415226.0,0,0,345,18,12918,306
352,1,73, Properties,67325.0,0,0,96,0,2813,64
353,1,73, TextEditor,14554614.0,2745,0,180,0,11874,863
354,1,74, Aulaweb,232793.0,42,0,76,0,8615,2
355,1,74, Blank,1241197.0,30,0,182,10,13110,6
356,1,74, Deeds,105851290.0,4,0,1867,184,173232,53
357,1,74, Diagram,32536528.0,0,0,501,16,50807,4
358,1,74, Other,1400720.0,30,0,367,31,36250,114
359,1,74, Properties,10075.0,0,0,46,0,2761,0
360,1,74, Study,2810016.0,75,0,241,0,36203,0
361,1,74, TextEditor,2555827.0,477,0,540,12,45398,841
362,1,76, Aulaweb,39645.0,7,0,35,0,3628,0
363,1,76, Blank,12907.0,0,0,90,0,4432,11
364,1,76, Deeds,9489184.0,8,0,1528,18,83170,239
365,1,76, Diagram,19392774.0,1,0,1115,40,50440,48
366,1,76, Other,826300.0,1,0,153,8,7641,114
367,1,76, Properties,71132.0,1,0,91,0,4792,130
368,1,76, Study,92787225.0,70,0,152,0,22463,0
369,1,76, TextEditor,8087067.0,722,0,366,0,31577,927
370,1,78, Aulaweb,5161.0,2,4,19,0,1420,0
371,1,78, Blank,8610.0,0,0,74,3,3981,0
372,1,78, Deeds,192932150.0,66,0,824,0,62120,230
373,1,78, Diagram,42035437.0,20,0,269,0,30585,20
374,1,78, Other,4523250.0,0,0,41,1,4923,0
375,1,78, Properties,92170.0,0,0,26,0,1724,48
376,1,78, Study,8354249.0,55,4,91,0,11787,0
377,1,78, TextEditor,3970018.0,421,0,339,0,27037,754
378,1,79, Aulaweb,50616.0,54,0,74,0,2190,2
379,1,79, Blank,31922.0,2,0,52,0,765,0
380,1,79, Deeds,74144331.0,38,0,1256,194,37350,149
381,1,79, Diagram,26140873.0,0,0,356,0,11895,52
382,1,79, Other,3814990.0,12,0,325,6,11330,183
383,1,79, Properties,76709.0,0,0,42,0,1629,46
384,1,79, Study,2280007.0,160,0,108,2,4819,0
385,1,79, TextEditor,9675049.0,484,0,357,0,13719,810
386,1,80, Aulaweb,3387452.0,28,0,30,0,1600,0
387,1,80, Blank,49940.0,7,0,77,8,2132,42
388,1,80, Deeds,272482291.0,96,0,910,128,31078,170
389,1,80, Diagram,29914576.0,2,0,441,0,9994,8
390,1,80, Other,9035690.0,17,0,317,8,6803,211
391,1,80, Properties,20001.0,3,0,15,0,279,41
392,1,80, Study,13055240.0,198,0,68,0,3507,0
393,1,80, TextEditor,11633636.0,2,0,59,0,2363,68
394,1,81, Aulaweb,2331061.0,8,0,12,0,5058,64
395,1,81, Blank,21437.0,0,0,4,0,449,6
396,1,81, Deeds,107403523.0,0,0,212,38,53980,203
397,1,81, Diagram,14262270.0,0,0,0,0,0,0
398,1,81, Other,9786542.0,0,0,18,0,8465,16
399,1,81, Properties,413471.0,0,0,2,0,1128,96
400,1,81, Study,21101919.0,3,0,24,0,10192,0
401,1,81, TextEditor,2787895.0,0,0,0,0,0,939
402,1,82, Aulaweb,903247.0,7,0,48,0,2681,0
403,1,82, Blank,193433.0,8,0,285,4,19037,0
404,1,82, Deeds,28657789.0,38,0,1474,226,87689,30
405,1,82, Diagram,26883293.0,16,0,549,34,43965,4
406,1,82, Other,5421499.0,25,0,195,10,11269,16
407,1,82, Properties,2933.0,0,0,49,0,2193,0
408,1,82, Study,3005530.0,91,0,224,2,21268,0
409,1,82, TextEditor,14109356.0,679,0,564,32,42208,868
410,1,85, Aulaweb,20761216.0,0,0,68,0,3273,2
411,1,85, Blank,951423.0,0,0,49,1,1508,0
412,1,85, Deeds,55073134.0,0,0,1157,164,38158,206
413,1,85, Diagram,782540.0,0,0,121,4,6021,52
414,1,85, Other,23418122.0,0,0,376,17,12189,408
415,1,85, Properties,5007.0,0,0,24,0,862,56
416,1,85, Study,2360481.0,0,0,148,2,8864,37
417,1,85, TextEditor,2536351.0,0,0,269,0,11395,947
418,1,86, Aulaweb,139061.0,0,0,18,0,485,0
419,1,86, Blank,77088.0,0,0,57,22,2238,0
420,1,86, Deeds,41755048.0,0,0,1614,166,46196,8
421,1,86, Diagram,15327089.0,0,0,516,26,16709,0
422,1,86, Other,1092169.0,0,0,149,6,5394,0
423,1,86, Properties,242323.0,0,0,45,0,1696,88
424,1,86, Study,3240698.0,0,0,193,0,8377,0
425,1,86, TextEditor,4203943.0,0,0,412,2,12104,769
426,1,87, Aulaweb,94737.0,5,0,48,0,2625,0
427,1,87, Blank,123850.0,0,0,67,4,3395,0
428,1,87, Deeds,71181705.0,19,2,1484,226,77464,90
429,1,87, Diagram,14494670.0,0,0,440,52,28060,0
430,1,87, Other,553912.0,0,0,102,4,3905,44
431,1,87, Properties,7676.0,0,0,37,0,1850,0
432,1,87, Study,18049675.0,84,0,138,2,10760,0
433,1,87, TextEditor,2866587.0,79,0,306,2,13273,665
434,1,88, Aulaweb,139234.0,0,0,69,0,3456,0
435,1,88, Blank,190521.0,0,0,51,15,2673,0
436,1,88, Deeds,20139422.0,0,0,1286,186,52345,208
437,1,88, Diagram,9745609.0,3,0,311,8,19830,24
438,1,88, Other,700741.0,2,0,95,4,9001,60
439,1,88, Properties,49547.0,0,0,37,4,1969,112
440,1,88, Study,2239472.0,25,0,162,4,13606,0
441,1,88, TextEditor,18320170.0,100,0,419,7,24726,985
442,1,90, Aulaweb,763.0,9,0,31,0,1874,0
443,1,90, Blank,2664230.0,4,0,203,3,16032,17
444,1,90, Deeds,6130550.0,4,0,1216,6,79550,289
445,1,90, Diagram,19503875.0,19,0,204,10,24850,86
446,1,90, Other,183303.0,5,2,137,6,8779,154
447,1,90, Properties,420.0,0,0,14,0,1041,0
448,1,90, Study,599580.0,41,0,143,1,8976,2
449,1,90, TextEditor,4223739.0,472,0,432,10,23236,779
450,1,91, Aulaweb,1547809.0,18,0,60,0,5390,0
451,1,91, Blank,359639.0,0,0,201,8,7772,0
452,1,91, Deeds,58704279.0,76,8,1133,154,80213,138
453,1,91, Diagram,14514292.0,0,0,378,18,20925,6
454,1,91, Other,72191039.0,81,0,333,24,17188,581
455,1,91, Properties,9318.0,0,0,87,0,3005,64
456,1,91, Study,2484961.0,75,0,111,0,9686,0
457,1,91, TextEditor,16903383.0,799,0,418,4,34624,685
458,1,92, Aulaweb,79161.0,0,0,46,0,1875,30
459,1,92, Blank,5070.0,0,0,41,19,1391,0
460,1,92, Deeds,125390832.0,0,0,1458,22,56834,440
461,1,92, Diagram,7210133.0,0,0,150,0,7057,18
462,1,92, Other,3229412.0,0,0,197,12,6761,154
463,1,92, Properties,73401.0,0,0,39,0,1319,110
464,1,92, Study,2909618.0,0,0,132,0,8029,2
465,1,92, TextEditor,24328403.0,0,0,577,5,22795,1405
466,1,93, Aulaweb,191936.0,7,0,54,0,5522,3
467,1,93, Blank,635640.0,3,0,106,2,5917,0
468,1,93, Deeds,38427461.0,9,0,1001,14,57515,268
469,1,93, Diagram,13190285.0,10,0,907,4,40187,82
470,1,93, Other,2366466.0,0,0,354,12,21038,352
471,1,93, Properties,1060.0,0,0,32,0,2180,0
472,1,93, Study,424588.0,37,0,146,2,14321,3
473,1,93, TextEditor,6721717.0,94,0,283,0,20800,548
