ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Aulaweb,MCR_Blank,MCR_Deeds,MCR_Diagram,MCR_Other,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_Other,MW_Study,MW_TextEditor,MWC_Aulaweb
17,13458.0,16102.0,3040023.0,24157.0,24313.0,63.0,24590.0,5271376.0,16.0,0.0,116.0,0.0,22.0,0.0,16.0,759.0,43.0,15.0,640.0,71.0,52.0,20.0,96.0,215.0,0.0,19.0,104.0,0.0,0.0,0.0,1.0,1110.0,1210.0,19968.0,2377.0,2553.0,507.0,3297.0,5543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,508699.0,58868.0,160035783.0,1324797.0,1966054.0,1813.0,0.0,4858614.0,8.0,0.0,191.0,166.0,125.0,0.0,0.0,529.0,14.0,18.0,1632.0,232.0,201.0,30.0,0.0,373.0,0.0,0.0,224.0,0.0,0.0,0.0,8.0,325.0,1210.0,80322.0,5415.0,12222.0,809.0,0.0,23636.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
20,249984.0,64018.0,46194110.0,43598013.0,265419.0,30804.0,1649907.0,3485466.0,0.0,0.0,331.0,92.0,0.0,2.0,76.0,615.0,174.0,95.0,1280.0,788.0,206.0,50.0,229.0,348.0,22.0,5.0,18.0,6.0,2.0,0.0,9.0,8106.0,2248.0,57646.0,35660.0,7233.0,1890.0,13743.0,18467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2092.0,260.0,13589309.0,8611295.0,57079.0,13625.0,2744196.0,10996474.0,0.0,0.0,426.0,10.0,78.0,58.0,0.0,1134.0,27.0,74.0,1212.0,600.0,124.0,40.0,101.0,409.0,0.0,0.0,8.0,0.0,6.0,2.0,4.0,918.0,1874.0,56251.0,21961.0,5000.0,1173.0,5870.0,18274.0,0.0,0.0,2.0,0.0,0.0,365.0,391.0,0.0
22,216111.0,592163.0,78438143.0,19726980.0,1920396.0,43738.0,1552008.0,15502723.0,0.0,0.0,86.0,6.0,186.0,72.0,0.0,808.0,43.0,99.0,1053.0,575.0,338.0,46.0,121.0,355.0,0.0,0.0,156.0,10.0,20.0,0.0,0.0,789.0,2224.0,28911.0,17119.0,8287.0,1418.0,4141.0,10626.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0
28,133725.0,115698.0,27867566.0,22097524.0,719273.0,64877.0,5568500.0,1926539.0,0.0,0.0,26.0,20.0,54.0,0.0,0.0,0.0,45.0,131.0,946.0,142.0,125.0,13.0,250.0,30.0,0.0,1.0,96.0,0.0,0.0,1.0,0.0,2453.0,6966.0,38506.0,6260.0,6813.0,596.0,12248.0,2944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,21792151.0,2559102.0,30195160.0,28126550.0,3441853.0,155832.0,1523189.0,8590131.0,85.0,0.0,319.0,0.0,243.0,62.0,3.0,703.0,180.0,104.0,1192.0,349.0,552.0,63.0,280.0,556.0,0.0,8.0,64.0,0.0,80.0,0.0,30.0,15315.0,6180.0,79252.0,17940.0,45011.0,3508.0,28375.0,38719.0,87.0,0.0,28.0,5.0,78.0,468.0,917.0,2.0
32,95104.0,639.0,36861396.0,7664167.0,1969750.0,19320.0,9932257.0,17068722.0,0.0,0.0,71.0,0.0,255.0,49.0,22.0,794.0,116.0,72.0,1351.0,416.0,510.0,45.0,274.0,634.0,0.0,4.0,190.0,32.0,28.0,0.0,0.0,6192.0,3617.0,69441.0,26730.0,25197.0,1753.0,20061.0,34195.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,0.0
34,8766011.0,11257.0,76921812.0,1718892.0,1088388.0,22721.0,1598746.0,6151545.0,0.0,0.0,58.0,2.0,34.0,0.0,0.0,586.0,53.0,64.0,958.0,328.0,90.0,17.0,51.0,428.0,0.0,6.0,148.0,12.0,2.0,0.0,0.0,6163.0,3599.0,62911.0,17998.0,6741.0,1199.0,8516.0,30667.0,1.0,0.0,2.0,6.0,30.0,29.0,317.0,0.0
36,2155597.0,20048.0,28716548.0,14054779.0,7007963.0,224168.0,12968758.0,77878369.0,0.0,2.0,113.0,33.0,8.0,90.0,0.0,917.0,8.0,37.0,812.0,979.0,200.0,45.0,74.0,389.0,0.0,6.0,100.0,4.0,2.0,0.0,0.0,643.0,3247.0,43239.0,37846.0,10809.0,2629.0,4417.0,25217.0,4.0,0.0,19.0,5.0,0.0,19.0,433.0,0.0
37,0.0,52729321.0,22880807.0,8875658.0,702286.0,602097.0,0.0,6183283.0,0.0,540.0,14.0,0.0,48.0,0.0,0.0,833.0,0.0,716.0,1169.0,717.0,120.0,26.0,0.0,308.0,0.0,32.0,138.0,8.0,12.0,0.0,6.0,0.0,74837.0,92622.0,33000.0,12744.0,1267.0,0.0,30842.0,0.0,197.0,4.0,13.0,27.0,0.0,289.0,0.0
38,30270.0,48842.0,132324876.0,6249744.0,596518.0,4149.0,36021245.0,25180127.0,0.0,0.0,321.0,2.0,293.0,0.0,2418.0,476.0,16.0,52.0,1271.0,293.0,101.0,22.0,86.0,379.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,816.0,1941.0,44280.0,11849.0,3983.0,880.0,4647.0,17919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,14526.0,582542.0,88329401.0,28286193.0,2706559.0,49865.0,1615864.0,26118977.0,0.0,0.0,171.0,16.0,278.0,42.0,0.0,1324.0,62.0,119.0,1419.0,519.0,430.0,74.0,114.0,338.0,3.0,3.0,230.0,92.0,36.0,2.0,4.0,2579.0,6396.0,56215.0,30550.0,20270.0,2484.0,10408.0,24339.0,19.0,11.0,44.0,29.0,6.0,129.0,609.0,3.0
42,47044.0,101312.0,64443758.0,28964304.0,1420262.0,971056.0,1442758.0,8420546.0,0.0,0.0,68.0,6.0,73.0,64.0,0.0,1614.0,69.0,155.0,1493.0,395.0,252.0,80.0,259.0,403.0,0.0,4.0,214.0,6.0,16.0,4.0,32.0,2798.0,4819.0,59905.0,17084.0,8849.0,2649.0,12794.0,14523.0,161.0,13.0,0.0,0.0,0.0,688.0,915.0,0.0
43,335450.0,8158.0,147773654.0,25619144.0,1919600.0,61927.0,5111788.0,13025149.0,1.0,0.0,631.0,18.0,154.0,42.0,3.0,1664.0,84.0,28.0,1310.0,385.0,264.0,36.0,167.0,554.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,3482.0,1099.0,42988.0,17478.0,8257.0,891.0,9602.0,19680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,271020.0,16250.0,49643776.0,12107543.0,181971.0,265.0,9612750.0,2226241.0,6.0,0.0,455.0,20.0,101.0,0.0,32.0,876.0,43.0,30.0,1004.0,656.0,269.0,20.0,290.0,363.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,10542.0,3159.0,116223.0,37498.0,32888.0,2566.0,37107.0,52865.0,16.0,2.0,0.0,3.0,219.0,115.0,817.0,0.0
46,4532439.0,3386.0,81872567.0,49715695.0,5492810.0,143744.0,7079990.0,42875817.0,0.0,0.0,450.0,24.0,212.0,66.0,0.0,648.0,100.0,47.0,1691.0,370.0,548.0,58.0,185.0,669.0,0.0,0.0,18.0,0.0,24.0,0.0,22.0,2913.0,885.0,45521.0,14804.0,13467.0,1480.0,6913.0,22806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1457379.0,150586.0,42924508.0,2719224.0,10152832.0,64074.0,1596285.0,3384579.0,0.0,0.0,298.0,0.0,180.0,117.0,42.0,780.0,99.0,101.0,1421.0,220.0,495.0,32.0,178.0,480.0,0.0,0.0,109.0,4.0,12.0,0.0,20.0,7324.0,5665.0,91527.0,14771.0,36338.0,2101.0,18126.0,35025.0,2.0,0.0,32.0,5.0,34.0,73.0,331.0,6.0
49,31532.0,3194.0,61042392.0,41112545.0,403107.0,72579.0,2788951.0,9301352.0,0.0,0.0,32.0,0.0,32.0,87.0,12.0,827.0,35.0,40.0,1219.0,1034.0,107.0,45.0,286.0,615.0,0.0,10.0,130.0,38.0,0.0,0.0,0.0,3537.0,2135.0,77220.0,49249.0,5011.0,2063.0,30538.0,25944.0,25.0,0.0,4.0,21.0,5.0,93.0,269.0,0.0
51,57940.0,34463.0,31847195.0,53282643.0,699200.0,2960.0,194743.0,2321810.0,0.0,0.0,125.0,48.0,126.0,0.0,0.0,1051.0,56.0,95.0,1738.0,961.0,385.0,53.0,148.0,526.0,2.0,2.0,94.0,28.0,36.0,0.0,12.0,2135.0,2259.0,58943.0,38232.0,10866.0,1401.0,8248.0,18484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,196224.0,158684.0,39815327.0,24550915.0,1385343.0,225067.0,2145144.0,23292414.0,0.0,0.0,170.0,6.0,18.0,67.0,0.0,1323.0,47.0,283.0,1062.0,276.0,151.0,41.0,156.0,502.0,0.0,4.0,126.0,0.0,2.0,0.0,24.0,1360.0,7154.0,27623.0,12650.0,3163.0,838.0,5192.0,14715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,10184908.0,419781.0,26460187.0,3168338.0,1450019.0,41828.0,6630988.0,4155164.0,0.0,2.0,182.0,10.0,38.0,46.0,2.0,691.0,18.0,21.0,407.0,271.0,124.0,36.0,132.0,54.0,0.0,0.0,38.0,12.0,0.0,0.0,0.0,3671.0,1054.0,36899.0,21761.0,14286.0,2117.0,26811.0,4976.0,3.0,0.0,31.0,0.0,12.0,67.0,13.0,0.0
54,35630.0,33886.0,17986897.0,2502001.0,647745.0,7801.0,379820.0,16662456.0,0.0,0.0,99.0,0.0,50.0,0.0,0.0,517.0,42.0,78.0,963.0,187.0,92.0,20.0,113.0,645.0,0.0,16.0,162.0,6.0,4.0,10.0,4.0,1758.0,2571.0,46175.0,5716.0,3607.0,785.0,6524.0,26118.0,0.0,0.0,73.0,0.0,0.0,7.0,30.0,0.0
55,363810.0,493335.0,98839050.0,20711107.0,690165.0,18122.0,966425.0,12156467.0,0.0,12.0,254.0,5.0,386.0,81.0,2.0,318.0,124.0,296.0,1734.0,372.0,394.0,65.0,150.0,747.0,0.0,50.0,8.0,0.0,3.0,0.0,3.0,10538.0,19754.0,127432.0,34663.0,30001.0,3744.0,15387.0,62558.0,52.0,2.0,29.0,0.0,23.0,45.0,501.0,0.0
56,104350.0,76626.0,66903884.0,2991061.0,172808.0,3265.0,17218881.0,5697359.0,2.0,0.0,289.0,24.0,63.0,0.0,256.0,364.0,50.0,144.0,1391.0,966.0,76.0,63.0,191.0,257.0,0.0,2.0,150.0,10.0,0.0,0.0,6.0,2925.0,4839.0,59204.0,25953.0,2913.0,2003.0,20862.0,13371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,139484.0,133516.0,43644887.0,119385299.0,6498715.0,368868.0,3503187.0,49210037.0,0.0,3.0,201.0,6.0,227.0,60.0,2.0,791.0,34.0,130.0,1236.0,304.0,224.0,78.0,168.0,364.0,0.0,0.0,58.0,2.0,12.0,2.0,0.0,2253.0,4546.0,45918.0,10867.0,8982.0,2435.0,10199.0,15184.0,0.0,0.0,12.0,0.0,32.0,121.0,459.0,0.0
62,21047.0,328452.0,30949472.0,7373664.0,281682.0,80288.0,5408799.0,4846873.0,4.0,4.0,56.0,6.0,102.0,36.0,2.0,774.0,88.0,77.0,1493.0,943.0,171.0,63.0,229.0,608.0,0.0,6.0,256.0,32.0,0.0,0.0,12.0,5498.0,3920.0,90540.0,36592.0,13043.0,4764.0,22256.0,36429.0,5.0,0.0,39.0,0.0,0.0,135.0,302.0,0.0
63,30975.0,544493.0,75021281.0,49519696.0,3736226.0,58770.0,8025814.0,11120056.0,42.0,7.0,187.0,25.0,52.0,50.0,22.0,947.0,58.0,230.0,1354.0,542.0,79.0,39.0,223.0,479.0,0.0,14.0,210.0,2.0,2.0,0.0,0.0,2386.0,7764.0,46004.0,11989.0,2751.0,966.0,7875.0,16735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,218850.0,1643753.0,11185119.0,23745472.0,1349619.0,28750.0,853653.0,8080494.0,4.0,0.0,96.0,14.0,167.0,68.0,4.0,600.0,37.0,100.0,626.0,904.0,321.0,51.0,82.0,602.0,0.0,4.0,84.0,26.0,4.0,0.0,2.0,2466.0,5573.0,37177.0,36743.0,19878.0,1945.0,8144.0,36968.0,116.0,0.0,126.0,0.0,28.0,226.0,966.0,0.0
67,16581.0,147388.0,71588674.0,48050716.0,2005053.0,1669.0,0.0,10128761.0,0.0,0.0,100.0,0.0,74.0,0.0,0.0,424.0,7.0,47.0,1311.0,628.0,405.0,31.0,0.0,345.0,0.0,4.0,252.0,38.0,18.0,0.0,0.0,518.0,1970.0,49139.0,27305.0,16328.0,947.0,0.0,18505.0,0.0,0.0,30.0,36.0,16.0,0.0,375.0,0.0
68,1049429.0,13906.0,58897559.0,6633609.0,2321373.0,26560.0,14570012.0,2988150.0,0.0,0.0,54.0,17.0,270.0,42.0,0.0,536.0,43.0,181.0,975.0,612.0,165.0,50.0,114.0,378.0,0.0,22.0,182.0,0.0,12.0,2.0,2.0,4378.0,10182.0,89870.0,39202.0,14331.0,4273.0,44834.0,32971.0,3.0,0.0,24.0,0.0,0.0,109.0,519.0,0.0
70,106851.0,50682.0,219020526.0,77377550.0,1657861.0,14944.0,305805.0,1522926.0,4.0,11.0,131.0,91.0,163.0,0.0,0.0,797.0,10.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1534.0,114.0,383.0,0.0,938.0,0.0,133.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,311616.0,7282.0,2480587.0,2425374.0,4510931.0,7897.0,187356.0,1907865.0,0.0,7.0,110.0,0.0,473.0,77.0,0.0,216.0,71.0,57.0,625.0,243.0,392.0,21.0,25.0,218.0,0.0,4.0,98.0,2.0,12.0,0.0,0.0,6565.0,2902.0,37779.0,9179.0,31795.0,981.0,3808.0,20634.0,15.0,0.0,6.0,0.0,5.0,18.0,200.0,0.0
73,0.0,5504828.0,60211963.0,16767643.0,415226.0,67325.0,0.0,14554614.0,0.0,7.0,245.0,12.0,306.0,64.0,0.0,863.0,0.0,154.0,1358.0,360.0,345.0,96.0,0.0,180.0,0.0,4.0,206.0,4.0,18.0,0.0,0.0,0.0,8810.0,61678.0,20297.0,12918.0,2813.0,0.0,11874.0,0.0,474.0,195.0,63.0,0.0,0.0,2745.0,0.0
74,232793.0,1241197.0,105851290.0,32536528.0,1400720.0,10075.0,2810016.0,2555827.0,2.0,6.0,53.0,4.0,114.0,0.0,0.0,841.0,76.0,182.0,1867.0,501.0,367.0,46.0,241.0,540.0,0.0,10.0,184.0,16.0,31.0,0.0,12.0,8615.0,13110.0,173232.0,50807.0,36250.0,2761.0,36203.0,45398.0,42.0,30.0,4.0,0.0,30.0,75.0,477.0,0.0
76,39645.0,12907.0,9489184.0,19392774.0,826300.0,71132.0,92787225.0,8087067.0,0.0,11.0,239.0,48.0,114.0,130.0,0.0,927.0,35.0,90.0,1528.0,1115.0,153.0,91.0,152.0,366.0,0.0,0.0,18.0,40.0,8.0,0.0,0.0,3628.0,4432.0,83170.0,50440.0,7641.0,4792.0,22463.0,31577.0,7.0,0.0,8.0,1.0,1.0,70.0,722.0,0.0
78,5161.0,8610.0,192932150.0,42035437.0,4523250.0,92170.0,8354249.0,3970018.0,0.0,0.0,230.0,20.0,0.0,48.0,0.0,754.0,19.0,74.0,824.0,269.0,41.0,26.0,91.0,339.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1420.0,3981.0,62120.0,30585.0,4923.0,1724.0,11787.0,27037.0,2.0,0.0,66.0,20.0,0.0,55.0,421.0,4.0
79,50616.0,31922.0,74144331.0,26140873.0,3814990.0,76709.0,2280007.0,9675049.0,2.0,0.0,149.0,52.0,183.0,46.0,0.0,810.0,74.0,52.0,1256.0,356.0,325.0,42.0,108.0,357.0,0.0,0.0,194.0,0.0,6.0,2.0,0.0,2190.0,765.0,37350.0,11895.0,11330.0,1629.0,4819.0,13719.0,54.0,2.0,38.0,0.0,12.0,160.0,484.0,0.0
80,3387452.0,49940.0,272482291.0,29914576.0,9035690.0,20001.0,13055240.0,11633636.0,0.0,42.0,170.0,8.0,211.0,41.0,0.0,68.0,30.0,77.0,910.0,441.0,317.0,15.0,68.0,59.0,0.0,8.0,128.0,0.0,8.0,0.0,0.0,1600.0,2132.0,31078.0,9994.0,6803.0,279.0,3507.0,2363.0,28.0,7.0,96.0,2.0,17.0,198.0,2.0,0.0
81,2331061.0,21437.0,107403523.0,14262270.0,9786542.0,413471.0,21101919.0,2787895.0,64.0,6.0,203.0,0.0,16.0,96.0,0.0,939.0,12.0,4.0,212.0,0.0,18.0,2.0,24.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,5058.0,449.0,53980.0,0.0,8465.0,1128.0,10192.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
82,903247.0,193433.0,28657789.0,26883293.0,5421499.0,2933.0,3005530.0,14109356.0,0.0,0.0,30.0,4.0,16.0,0.0,0.0,868.0,48.0,285.0,1474.0,549.0,195.0,49.0,224.0,564.0,0.0,4.0,226.0,34.0,10.0,2.0,32.0,2681.0,19037.0,87689.0,43965.0,11269.0,2193.0,21268.0,42208.0,7.0,8.0,38.0,16.0,25.0,91.0,679.0,0.0
85,20761216.0,951423.0,55073134.0,782540.0,23418122.0,5007.0,2360481.0,2536351.0,2.0,0.0,206.0,52.0,408.0,56.0,37.0,947.0,68.0,49.0,1157.0,121.0,376.0,24.0,148.0,269.0,0.0,1.0,164.0,4.0,17.0,2.0,0.0,3273.0,1508.0,38158.0,6021.0,12189.0,862.0,8864.0,11395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,139061.0,77088.0,41755048.0,15327089.0,1092169.0,242323.0,3240698.0,4203943.0,0.0,0.0,8.0,0.0,0.0,88.0,0.0,769.0,18.0,57.0,1614.0,516.0,149.0,45.0,193.0,412.0,0.0,22.0,166.0,26.0,6.0,0.0,2.0,485.0,2238.0,46196.0,16709.0,5394.0,1696.0,8377.0,12104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,94737.0,123850.0,71181705.0,14494670.0,553912.0,7676.0,18049675.0,2866587.0,0.0,0.0,90.0,0.0,44.0,0.0,0.0,665.0,48.0,67.0,1484.0,440.0,102.0,37.0,138.0,306.0,0.0,4.0,226.0,52.0,4.0,2.0,2.0,2625.0,3395.0,77464.0,28060.0,3905.0,1850.0,10760.0,13273.0,5.0,0.0,19.0,0.0,0.0,84.0,79.0,0.0
88,139234.0,190521.0,20139422.0,9745609.0,700741.0,49547.0,2239472.0,18320170.0,0.0,0.0,208.0,24.0,60.0,112.0,0.0,985.0,69.0,51.0,1286.0,311.0,95.0,37.0,162.0,419.0,0.0,15.0,186.0,8.0,4.0,4.0,7.0,3456.0,2673.0,52345.0,19830.0,9001.0,1969.0,13606.0,24726.0,0.0,0.0,0.0,3.0,2.0,25.0,100.0,0.0
90,763.0,2664230.0,6130550.0,19503875.0,183303.0,420.0,599580.0,4223739.0,0.0,17.0,289.0,86.0,154.0,0.0,2.0,779.0,31.0,203.0,1216.0,204.0,137.0,14.0,143.0,432.0,0.0,3.0,6.0,10.0,6.0,1.0,10.0,1874.0,16032.0,79550.0,24850.0,8779.0,1041.0,8976.0,23236.0,9.0,4.0,4.0,19.0,5.0,41.0,472.0,0.0
91,1547809.0,359639.0,58704279.0,14514292.0,72191039.0,9318.0,2484961.0,16903383.0,0.0,0.0,138.0,6.0,581.0,64.0,0.0,685.0,60.0,201.0,1133.0,378.0,333.0,87.0,111.0,418.0,0.0,8.0,154.0,18.0,24.0,0.0,4.0,5390.0,7772.0,80213.0,20925.0,17188.0,3005.0,9686.0,34624.0,18.0,0.0,76.0,0.0,81.0,75.0,799.0,0.0
92,79161.0,5070.0,125390832.0,7210133.0,3229412.0,73401.0,2909618.0,24328403.0,30.0,0.0,440.0,18.0,154.0,110.0,2.0,1405.0,46.0,41.0,1458.0,150.0,197.0,39.0,132.0,577.0,0.0,19.0,22.0,0.0,12.0,0.0,5.0,1875.0,1391.0,56834.0,7057.0,6761.0,1319.0,8029.0,22795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,191936.0,635640.0,38427461.0,13190285.0,2366466.0,1060.0,424588.0,6721717.0,3.0,0.0,268.0,82.0,352.0,0.0,3.0,548.0,54.0,106.0,1001.0,907.0,354.0,32.0,146.0,283.0,0.0,2.0,14.0,4.0,12.0,2.0,0.0,5522.0,5917.0,57515.0,40187.0,21038.0,2180.0,14321.0,20800.0,7.0,3.0,9.0,10.0,0.0,37.0,94.0,0.0
94,111242.0,730233.0,44528655.0,12560433.0,4582334.0,363763.0,5724934.0,9671549.0,0.0,23.0,174.0,12.0,144.0,46.0,0.0,461.0,54.0,240.0,1267.0,401.0,489.0,56.0,231.0,712.0,0.0,0.0,190.0,26.0,20.0,2.0,24.0,3447.0,13152.0,62485.0,20301.0,21506.0,2770.0,16843.0,43264.0,14.0,57.0,94.0,2.0,44.0,25.0,555.0,0.0
96,26967.0,86492.0,90518179.0,11783419.0,226127.0,24667.0,2686472.0,9771339.0,0.0,0.0,34.0,6.0,148.0,46.0,0.0,591.0,34.0,158.0,1340.0,519.0,186.0,51.0,199.0,452.0,2.0,0.0,303.0,28.0,0.0,1.0,16.0,2723.0,11690.0,118062.0,43491.0,13378.0,3281.0,31578.0,51977.0,6.0,0.0,34.0,5.0,0.0,77.0,121.0,0.0
