ID,DUR_Aulaweb,DUR_Blank,DUR_Deeds,DUR_Diagram,DUR_FSM,DUR_Other,DUR_Properties,DUR_Study,DUR_TextEditor,KS_Aulaweb,KS_Blank,KS_Deeds,KS_Diagram,KS_FSM,KS_Other,KS_Properties,KS_Study,KS_TextEditor,MCL_Aulaweb,MCL_Blank,MCL_Deeds,MCL_Diagram,MCL_FSM,MCL_Other,MCL_Properties,MCL_Study,MCL_TextEditor,MCR_Blank,MCR_Deeds,MCR_FSM,MCR_Other,MCR_Properties,MCR_Study,MCR_TextEditor,MM_Aulaweb,MM_Blank,MM_Deeds,MM_Diagram,MM_FSM,MM_Other,MM_Properties,MM_Study,MM_TextEditor,MW_Aulaweb,MW_Blank,MW_Deeds,MW_Diagram,MW_FSM,MW_Other,MW_Properties,MW_Study,MW_TextEditor,MWC_Aulaweb,MWC_Study
19,0.0,30215.0,598897.0,30119.0,217490479.0,469012.0,227147.0,0.0,9160553.0,0.0,0.0,8.0,0.0,328.0,14.0,96.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4142.0,23137.0,1184255.0,2795050.0,143620882.0,781001.0,247856.0,142776413.0,4460083.0,0.0,0.0,30.0,0.0,404.0,103.0,46.0,26.0,326.0,12.0,83.0,372.0,42.0,3787.0,499.0,286.0,165.0,202.0,2.0,0.0,26.0,22.0,10.0,0.0,4.0,773.0,2366.0,9033.0,2116.0,149092.0,13857.0,9289.0,10047.0,11923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1001830.0,914323.0,331386.0,6706.0,89399570.0,32290.0,3413265.0,157617258.0,78353780.0,0.0,0.0,0.0,0.0,40.0,4.0,110.0,0.0,2007.0,43.0,109.0,161.0,29.0,2776.0,108.0,415.0,103.0,246.0,35.0,18.0,52.0,4.0,0.0,0.0,9.0,3457.0,6819.0,10599.0,1564.0,189216.0,7612.0,22603.0,21369.0,26546.0,0.0,1.0,0.0,0.0,137.0,0.0,5.0,91.0,699.0,0.0,0.0
25,5024038.0,58798.0,805457.0,628289.0,161682040.0,902831.0,1152162.0,45000483.0,50714233.0,0.0,0.0,0.0,0.0,138.0,0.0,176.0,4.0,821.0,40.0,223.0,142.0,59.0,4371.0,202.0,308.0,251.0,515.0,0.0,22.0,104.0,0.0,0.0,0.0,78.0,1878.0,8952.0,8487.0,3423.0,209393.0,8388.0,11680.0,17957.0,31880.0,0.0,7.0,16.0,0.0,463.0,13.0,0.0,369.0,506.0,0.0,0.0
27,1631849.0,152443.0,1116750.0,900230.0,463550978.0,1692907.0,20041173.0,79991766.0,228174.0,8.0,4.0,93.0,21.0,411.0,122.0,103.0,9.0,295.0,9.0,85.0,128.0,25.0,2915.0,150.0,370.0,59.0,90.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,373.0,2837.0,5048.0,1119.0,147210.0,6407.0,17962.0,3522.0,6284.0,0.0,0.0,0.0,0.0,486.0,49.0,0.0,102.0,777.0,0.0,0.0
28,343248.0,11902.0,4633149.0,196065.0,85940959.0,66661.0,7312493.0,50486217.0,40967615.0,0.0,0.0,5.0,0.0,232.0,46.0,150.0,0.0,973.0,31.0,161.0,109.0,67.0,3447.0,121.0,428.0,237.0,251.0,2.0,22.0,44.0,0.0,2.0,0.0,0.0,2512.0,7067.0,6591.0,3344.0,195222.0,7507.0,30360.0,44285.0,24579.0,7.0,0.0,0.0,0.0,110.0,0.0,2.0,570.0,752.0,0.0,0.0
29,1285.0,1061.0,924867.0,304361.0,33495004.0,22958.0,5628177.0,38879546.0,1937738.0,0.0,0.0,1.0,0.0,327.0,0.0,198.0,0.0,1197.0,45.0,60.0,347.0,61.0,4245.0,262.0,420.0,405.0,311.0,1.0,22.0,10.0,5.0,0.0,2.0,30.0,2422.0,3203.0,21438.0,7389.0,287959.0,13650.0,39768.0,61213.0,26968.0,1.0,0.0,48.0,10.0,134.0,28.0,2.0,686.0,1240.0,0.0,0.0
30,35290.0,10984.0,686121.0,44733.0,81813608.0,517462.0,7448672.0,345962567.0,19974193.0,0.0,0.0,38.0,0.0,170.0,8.0,174.0,342.0,828.0,31.0,23.0,353.0,34.0,3271.0,348.0,237.0,438.0,255.0,1.0,4.0,10.0,43.0,0.0,0.0,30.0,1291.0,838.0,8061.0,1088.0,125170.0,10258.0,9192.0,26184.0,13862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,467.0,41557.0,1003342.0,908404.0,55766259.0,133503.0,509848.0,46474858.0,15258144.0,0.0,7.0,9.0,0.0,475.0,68.0,145.0,2.0,2204.0,65.0,219.0,220.0,30.0,5361.0,326.0,509.0,341.0,479.0,0.0,28.0,52.0,6.0,0.0,0.0,0.0,3029.0,8302.0,8266.0,1649.0,222979.0,14012.0,17080.0,31669.0,27831.0,13.0,6.0,58.0,0.0,263.0,26.0,6.0,583.0,1748.0,0.0,0.0
34,16.0,0.0,1771806.0,1733.0,225395477.0,2591103.0,248389.0,65128981.0,15952066.0,0.0,0.0,41.0,0.0,111.0,2.0,214.0,0.0,258.0,12.0,17.0,375.0,26.0,1982.0,65.0,203.0,102.0,146.0,0.0,54.0,72.0,4.0,0.0,0.0,0.0,758.0,757.0,17231.0,1477.0,102308.0,5765.0,9107.0,13335.0,10724.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,102.0,97.0,0.0,0.0
35,158280787.0,3124.0,3848506.0,50599.0,327772956.0,5360632.0,861610.0,58852151.0,2026218.0,2.0,0.0,10.0,0.0,228.0,0.0,60.0,17.0,507.0,53.0,32.0,8.0,0.0,1972.0,56.0,114.0,37.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1545.0,660.0,493.0,0.0,72596.0,1949.0,2407.0,2286.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,152571.0,3397691.0,24720.0,358786266.0,3374204.0,25897209.0,61933850.0,53464625.0,0.0,8.0,31.0,0.0,450.0,28.0,194.0,18.0,807.0,0.0,68.0,125.0,25.0,3428.0,138.0,454.0,250.0,231.0,9.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,2398.0,3909.0,662.0,102405.0,4671.0,14801.0,10184.0,10597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,18754.0,985959.0,63622.0,67642.0,61960582.0,972160.0,1078239.0,8902739.0,2099968.0,0.0,0.0,0.0,0.0,230.0,10.0,74.0,2.0,1242.0,13.0,103.0,115.0,32.0,4862.0,375.0,344.0,193.0,161.0,22.0,24.0,22.0,10.0,0.0,0.0,4.0,1306.0,6812.0,7144.0,2589.0,353114.0,28316.0,18249.0,28231.0,15631.0,0.0,5.0,0.0,0.0,66.0,54.0,0.0,95.0,296.0,0.0,0.0
38,6635854.0,4165.0,708439.0,4780.0,212050329.0,481481.0,16622640.0,4255346.0,346925741.0,0.0,0.0,8.0,0.0,116.0,30.0,80.0,0.0,938.0,39.0,6.0,119.0,33.0,2850.0,127.0,354.0,69.0,263.0,0.0,18.0,30.0,4.0,0.0,2.0,0.0,2995.0,196.0,5466.0,1693.0,153798.0,6338.0,20476.0,8321.0,23680.0,14.0,0.0,5.0,0.0,85.0,0.0,5.0,59.0,568.0,0.0,0.0
39,8212.0,41049.0,116659.0,183777.0,112714768.0,1275226.0,1244133.0,254603215.0,511387.0,0.0,4.0,0.0,0.0,620.0,204.0,103.0,0.0,598.0,56.0,142.0,121.0,46.0,3844.0,428.0,341.0,139.0,335.0,0.0,20.0,36.0,10.0,6.0,0.0,4.0,1914.0,7807.0,5695.0,3206.0,204103.0,21676.0,10891.0,24182.0,17963.0,0.0,0.0,0.0,0.0,116.0,67.0,0.0,167.0,919.0,4.0,58.0
41,364771.0,4652331.0,2000485.0,1073299.0,109436544.0,99327.0,1040542.0,89317922.0,23577692.0,0.0,8.0,22.0,0.0,380.0,0.0,272.0,4.0,2523.0,60.0,262.0,756.0,393.0,4258.0,112.0,498.0,358.0,537.0,4.0,38.0,10.0,6.0,6.0,2.0,2.0,2214.0,8273.0,14869.0,12653.0,160862.0,5614.0,16938.0,22783.0,29727.0,16.0,0.0,0.0,0.0,93.0,0.0,0.0,655.0,442.0,0.0,0.0
42,9574149.0,11234.0,9415382.0,87272.0,648225207.0,102574.0,288314.0,67841110.0,1267966.0,0.0,0.0,0.0,0.0,14.0,22.0,90.0,0.0,456.0,100.0,98.0,455.0,32.0,3910.0,139.0,209.0,183.0,110.0,0.0,58.0,96.0,0.0,0.0,2.0,10.0,3975.0,3486.0,15462.0,1142.0,138707.0,4060.0,6433.0,19800.0,4494.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,2161.0,216.0,0.0,0.0
44,194273.0,1112.0,314371.0,1009709.0,59269834.0,32072.0,7035961.0,663040949.0,2361740.0,9.0,0.0,40.0,0.0,534.0,157.0,259.0,66.0,1910.0,91.0,56.0,280.0,55.0,5402.0,400.0,522.0,972.0,408.0,1.0,2.0,20.0,6.0,0.0,3.0,0.0,10867.0,9684.0,36742.0,8458.0,714967.0,53258.0,51246.0,67151.0,66259.0,35.0,19.0,10.0,0.0,101.0,17.0,0.0,668.0,828.0,0.0,0.0
46,24546.0,687.0,2694857.0,2802977.0,161151948.0,3516456.0,1530051.0,32122702.0,1860353.0,0.0,0.0,22.0,0.0,354.0,274.0,122.0,2.0,238.0,37.0,61.0,363.0,55.0,4393.0,640.0,322.0,193.0,232.0,0.0,4.0,32.0,12.0,0.0,0.0,18.0,9124.0,10241.0,53662.0,21643.0,931772.0,161895.0,62336.0,178719.0,77704.0,0.0,0.0,3.0,0.0,117.0,310.0,0.0,75.0,109.0,0.0,0.0
47,2873.0,22161.0,1532067.0,534770.0,247062507.0,230605.0,391084.0,18884980.0,2187895.0,0.0,40.0,22.0,20.0,725.0,0.0,122.0,18.0,374.0,23.0,135.0,259.0,61.0,3784.0,213.0,220.0,240.0,144.0,28.0,16.0,104.0,0.0,0.0,2.0,4.0,1950.0,8213.0,10078.0,5031.0,233232.0,12802.0,11424.0,28670.0,15159.0,15.0,3.0,0.0,0.0,141.0,3.0,1.0,175.0,155.0,0.0,0.0
48,0.0,52334.0,8124060.0,40170.0,108272960.0,18114812.0,942519.0,88854614.0,1255330207.0,0.0,0.0,28.0,0.0,271.0,2.0,205.0,0.0,646.0,0.0,42.0,552.0,30.0,4023.0,145.0,411.0,167.0,442.0,0.0,2.0,70.0,2.0,0.0,0.0,2.0,0.0,2286.0,12947.0,1506.0,231731.0,10186.0,27647.0,21586.0,37098.0,0.0,9.0,0.0,0.0,97.0,13.0,0.0,238.0,780.0,0.0,0.0
49,578125.0,3027741.0,970572.0,112754.0,122698303.0,74424.0,1388368.0,116765732.0,2960814.0,60.0,0.0,8.0,0.0,1575.0,39.0,228.0,0.0,1037.0,48.0,247.0,163.0,18.0,5644.0,384.0,684.0,191.0,426.0,0.0,22.0,20.0,14.0,2.0,0.0,4.0,3902.0,10208.0,9314.0,887.0,239573.0,18353.0,25031.0,18217.0,25039.0,21.0,19.0,0.0,0.0,298.0,24.0,0.0,148.0,810.0,0.0,0.0
50,8288367.0,6146949.0,5556534.0,24527.0,693612106.0,12231571.0,702888.0,18589439.0,72458485.0,0.0,0.0,0.0,0.0,176.0,42.0,18.0,0.0,387.0,6.0,12.0,286.0,24.0,1442.0,114.0,100.0,58.0,146.0,0.0,20.0,2.0,2.0,2.0,0.0,0.0,370.0,932.0,7535.0,978.0,62240.0,5069.0,4536.0,2970.0,10060.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,71.0,2985.0,0.0,0.0
51,3616217.0,83024.0,3904960.0,18950.0,159569710.0,18826.0,1736598.0,71718638.0,1980122.0,61.0,12.0,4.0,2.0,326.0,1.0,80.0,274.0,267.0,67.0,79.0,394.0,38.0,3723.0,102.0,376.0,229.0,165.0,0.0,18.0,40.0,4.0,0.0,2.0,0.0,2304.0,1789.0,5263.0,1479.0,115741.0,2936.0,11870.0,10203.0,6582.0,0.0,6.0,0.0,31.0,157.0,0.0,0.0,19.0,0.0,0.0,0.0
52,0.0,12782.0,2756376.0,23507.0,150632109.0,1355718.0,37317152.0,21085447.0,3689794.0,0.0,0.0,35.0,7.0,390.0,38.0,132.0,0.0,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,391379.0,290753.0,515577.0,202283138.0,20866.0,2527958.0,234583635.0,2234342.0,0.0,0.0,10.0,0.0,776.0,14.0,199.0,0.0,443.0,0.0,127.0,431.0,61.0,4842.0,128.0,456.0,76.0,269.0,0.0,22.0,82.0,2.0,0.0,0.0,0.0,0.0,10455.0,12681.0,6920.0,299233.0,7766.0,32885.0,16896.0,28085.0,0.0,0.0,0.0,0.0,61.0,5.0,1.0,133.0,423.0,0.0,0.0
54,3384338.0,3384.0,3447709.0,9608.0,131451123.0,3231690.0,1941844.0,62642587.0,4187586.0,0.0,0.0,17.0,0.0,38.0,0.0,66.0,0.0,84.0,18.0,39.0,174.0,40.0,1372.0,130.0,141.0,83.0,185.0,18.0,34.0,20.0,0.0,0.0,0.0,4.0,1801.0,2721.0,10213.0,1638.0,98038.0,9117.0,10286.0,8630.0,14361.0,0.0,0.0,1.0,0.0,78.0,26.0,2.0,92.0,563.0,0.0,0.0
56,225523.0,27307.0,151705.0,11185.0,43602266.0,1031393.0,1234797.0,319042367.0,1710286.0,0.0,14.0,0.0,0.0,104.0,78.0,190.0,300.0,418.0,63.0,152.0,142.0,28.0,3849.0,307.0,448.0,173.0,206.0,0.0,18.0,18.0,6.0,0.0,0.0,0.0,1749.0,4377.0,4696.0,1264.0,138554.0,7368.0,14964.0,12741.0,7487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,25499525.0,2785088.0,2430016.0,1256116.0,517975225.0,263979.0,4423896.0,86643660.0,6147603.0,0.0,0.0,34.0,0.0,218.0,112.0,185.0,0.0,666.0,37.0,79.0,296.0,78.0,2608.0,204.0,299.0,88.0,249.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,4293.0,5206.0,11355.0,7495.0,158352.0,11976.0,18825.0,25545.0,23220.0,0.0,0.0,0.0,18.0,299.0,6.0,4.0,349.0,1330.0,0.0,0.0
59,2046490.0,6350.0,3645972.0,199396.0,269124828.0,6667409.0,501295.0,96573671.0,105665857.0,0.0,0.0,12.0,0.0,131.0,51.0,78.0,0.0,162.0,31.0,84.0,125.0,34.0,2036.0,201.0,181.0,122.0,180.0,0.0,20.0,14.0,8.0,0.0,0.0,0.0,740.0,2302.0,4127.0,1141.0,59072.0,6736.0,4752.0,5029.0,7233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,111318.0,6120.0,4632088.0,7643.0,376183230.0,4388152.0,13076.0,46486068.0,17318546.0,0.0,0.0,0.0,0.0,150.0,56.0,22.0,0.0,697.0,66.0,113.0,447.0,30.0,2844.0,560.0,221.0,156.0,363.0,2.0,46.0,38.0,22.0,0.0,0.0,20.0,3747.0,5506.0,23381.0,2161.0,189216.0,33411.0,9716.0,12915.0,26082.0,45.0,0.0,1.0,0.0,219.0,104.0,4.0,143.0,1010.0,0.0,0.0
61,1223758.0,538385.0,778877.0,496977.0,357020273.0,503072.0,5319531.0,47646829.0,3950803.0,6.0,0.0,14.0,0.0,280.0,275.0,50.0,212.0,300.0,38.0,123.0,272.0,32.0,3504.0,215.0,281.0,144.0,196.0,1.0,32.0,36.0,9.0,0.0,2.0,0.0,2684.0,4872.0,9243.0,2311.0,175387.0,8724.0,13896.0,12603.0,9161.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1014782.0,408439.0,722604.0,979145.0,184062019.0,841176.0,693161.0,84628522.0,17846069.0,14.0,24.0,12.0,12.0,458.0,85.0,156.0,61.0,436.0,18.0,227.0,234.0,72.0,2955.0,92.0,207.0,194.0,179.0,4.0,24.0,16.0,0.0,0.0,0.0,0.0,738.0,6524.0,5357.0,2429.0,86809.0,3850.0,5766.0,8302.0,8985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,202155181.0,5669378.0,0.0,0.0,523993172.0,1199626.0,2014394.0,42076276.0,29186587.0,0.0,2.0,0.0,0.0,194.0,54.0,34.0,0.0,550.0,24.0,82.0,0.0,0.0,1880.0,125.0,158.0,100.0,299.0,27.0,0.0,68.0,8.0,0.0,2.0,9.0,1010.0,3656.0,0.0,0.0,77510.0,6163.0,5580.0,3337.0,15256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1505193.0,27105831.0,443892.0,322977.0,121689551.0,1700977.0,289823.0,24152536.0,19644828.0,24.0,0.0,36.0,0.0,442.0,397.0,116.0,0.0,797.0,95.0,175.0,210.0,86.0,3510.0,424.0,255.0,163.0,248.0,10.0,0.0,26.0,18.0,0.0,2.0,24.0,8506.0,10152.0,10689.0,6219.0,221824.0,20919.0,13229.0,19760.0,19262.0,139.0,7.0,8.0,6.0,206.0,39.0,2.0,35.0,1008.0,0.0,0.0
66,2684.0,10821.0,73825.0,34169.0,93738036.0,8451.0,1964192.0,59362571.0,581906.0,1.0,1189.0,5.0,0.0,24088.0,2336.0,6131.0,98.0,125.0,13.0,91.0,116.0,28.0,4024.0,262.0,532.0,124.0,238.0,15.0,20.0,64.0,5.0,4.0,2.0,0.0,1112.0,5099.0,5758.0,2582.0,304465.0,16267.0,43345.0,17876.0,16671.0,0.0,0.0,0.0,0.0,345.0,140.0,0.0,445.0,499.0,0.0,0.0
67,75601.0,18606.0,215886.0,1659673.0,115420988.0,140212.0,2947429.0,98876842.0,20778115.0,0.0,1.0,0.0,0.0,140.0,47.0,185.0,2.0,1391.0,122.0,47.0,142.0,53.0,2683.0,309.0,356.0,163.0,401.0,0.0,24.0,24.0,44.0,0.0,6.0,4.0,10932.0,7081.0,12006.0,6094.0,228168.0,34312.0,28480.0,29944.0,45313.0,22.0,4.0,1.0,0.0,171.0,25.0,2.0,515.0,1909.0,18.0,152.0
68,1657446.0,3608.0,11995430.0,1966377.0,417365020.0,272766.0,8077957.0,82138180.0,9213892.0,0.0,0.0,4.0,0.0,146.0,0.0,96.0,424.0,1140.0,27.0,55.0,118.0,38.0,2548.0,103.0,306.0,160.0,139.0,24.0,30.0,28.0,0.0,0.0,0.0,4.0,1409.0,1413.0,5971.0,1631.0,107781.0,3186.0,10671.0,9323.0,6842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
