,ID,MID2,MID3,MID4,MID5,MID6,FIN2,FIN3,FIN4,FIN5,FIN6,RES2,RES3,RES4,RES5,RES6
54,63,58.33,37.5,100.0,87.5,25.0,42.0,37.0,31.0,32.0,37.0,0,0,1,1,0
55,64,0.0,0.0,80.0,87.5,37.5,11.0,37.0,12.0,0.0,0.0,0,0,1,1,1
56,66,0.0,50.0,90.0,75.0,56.25,62.0,37.0,55.0,30.0,43.0,0,0,0,1,0
57,67,91.67,100.0,90.0,100.0,68.75,41.0,37.0,54.5,30.0,40.0,1,1,0,1,0
58,68,91.67,87.5,100.0,100.0,75.0,62.0,36.5,41.0,32.0,12.5,0,1,1,1,1
59,69,0.0,12.5,80.0,100.0,50.0,11.5,35.0,7.0,0.0,5.0,0,0,1,1,1
60,70,91.67,100.0,100.0,100.0,81.25,42.0,37.0,49.0,1.0,24.5,1,1,1,1,1
61,71,83.33,0.0,100.0,87.5,0.0,42.0,37.0,55.0,15.5,61.25,0,0,0,1,0
62,72,75.0,75.0,80.0,87.5,68.75,42.0,37.0,43.0,32.0,61.5,0,1,0,1,0
63,73,75.0,75.0,80.0,0.0,50.0,1.0,33.0,19.0,10.0,15.5,1,1,1,0,1
64,74,50.0,37.5,100.0,100.0,43.75,1.5,35.0,11.0,0.0,0.0,1,0,1,1,1
65,75,0.0,100.0,100.0,100.0,50.0,32.0,37.0,55.0,19.5,49.0,0,1,0,1,0
66,76,66.67,100.0,80.0,100.0,50.0,32.0,27.0,55.0,32.0,54.0,1,1,0,1,0
67,77,0.0,0.0,80.0,0.0,0.0,11.0,37.0,31.0,17.5,31.0,0,0,1,0,0
68,78,41.67,75.0,100.0,100.0,68.75,41.0,37.0,31.0,15.0,49.5,0,1,1,1,0
69,79,83.33,87.5,90.0,100.0,68.75,31.0,36.5,29.0,20.0,60.0,1,1,1,1,0
70,80,58.33,25.0,100.0,100.0,62.5,11.0,37.0,23.0,17.5,30.0,1,0,1,1,1
71,81,83.33,100.0,100.0,100.0,68.75,1.0,37.0,43.0,26.0,62.5,1,1,1,1,0
72,82,41.67,62.5,80.0,87.5,37.5,11.0,3.0,10.0,0.0,0.0,1,1,1,1,1
73,83,66.67,62.5,90.0,100.0,50.0,2.0,5.0,15.0,16.0,10.0,1,1,1,1,1
74,85,100.0,100.0,100.0,100.0,100.0,32.0,37.0,53.0,12.0,55.0,1,1,0,1,0
75,86,83.33,100.0,100.0,100.0,81.25,62.0,37.0,55.0,26.0,62.5,0,1,0,1,0
76,87,66.67,87.5,90.0,87.5,56.25,31.5,37.0,19.0,0.0,40.5,1,1,1,1,0
77,88,83.33,75.0,100.0,100.0,68.75,41.0,37.0,55.0,30.0,62.5,1,1,0,1,0
78,89,8.33,37.5,70.0,62.5,12.5,1.5,35.0,8.0,0.0,0.0,1,0,1,1,1
79,91,100.0,100.0,100.0,100.0,56.25,41.0,37.0,45.0,18.833333333333336,42.0,1,1,1,1,0
80,92,41.67,62.5,90.0,100.0,25.0,1.0,5.0,27.0,0.0,0.0,1,1,1,1,1
81,93,66.67,100.0,90.0,100.0,37.5,32.0,37.0,27.0,10.0,56.5,1,1,1,1,0
82,94,91.67,100.0,100.0,100.0,68.75,41.0,37.0,49.0,24.333333333333336,57.5,1,1,1,1,0
83,95,66.67,87.5,100.0,75.0,81.25,11.0,35.0,47.0,0.0,22.5,1,1,1,1,1
84,96,75.0,0.0,100.0,100.0,56.25,32.0,37.0,43.0,32.0,37.0,1,0,1,1,0
85,98,58.33,100.0,100.0,100.0,75.0,41.0,37.0,53.0,16.0,30.0,0,1,0,1,1
86,99,33.33,62.5,80.0,87.5,37.5,0.0,5.0,0.0,0.0,0.0,1,1,1,1,1
87,100,58.33,50.0,0.0,100.0,75.0,31.0,37.0,41.0,20.0,49.0,0,0,0,1,0
88,101,75.0,37.5,0.0,87.5,0.0,20.5,33.0,15.0,0.0,0.0,1,0,0,1,0
89,102,75.0,100.0,80.0,87.5,50.0,31.0,33.0,24.0,0.0,4.5,1,1,1,1,1
90,103,33.33,0.0,0.0,87.5,0.0,31.0,35.0,3.0,0.0,0.0,0,0,0,1,0
91,104,100.0,0.0,90.0,100.0,68.75,31.0,37.0,51.0,30.0,57.0,1,0,0,1,0
92,106,0.0,87.5,0.0,0.0,0.0,1.5,37.0,19.0,0.0,44.5,0,1,0,0,0
